Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.47600e-01	8.83600e-61	7.96600e-01	2.38600e-74	9.38400e-01	unspecified
1	5.62300e-01	3.77000e-29	2.34000e-01	1.60500e-05	2.40300e+00	unspecified
2	2.39100e-01	1.03100e-05	3.38500e-01	2.27600e-10	7.06400e-01	unspecified
3	8.33200e-01	3.51300e-87	8.22800e-01	3.05900e-83	1.01300e+00	unspecified
4	6.35200e-01	5.12600e-39	6.56200e-01	2.17500e-42	9.67900e-01	unspecified
5	5.63000e-01	3.04700e-29	5.75400e-01	9.57600e-31	9.78600e-01	unspecified
10	-2.06700e-02	7.07100e-01	-3.31500e-02	5.46600e-01	6.23600e-01	unspecified
14	7.13600e-01	4.23500e-53	7.09700e-01	2.73500e-52	1.00500e+00	unspecified
15	5.32500e-01	8.76800e-26	4.79600e-01	1.46600e-20	1.11000e+00	unspecified
16	5.01200e-01	1.38900e-22	5.03500e-01	8.29800e-23	9.95400e-01	unspecified
17	1.50800e-01	5.83800e-03	1.13600e-01	3.81900e-02	1.32700e+00	unspecified
18	1.13600e-01	3.81900e-02	1.00700e-01	6.63500e-02	1.12800e+00	unspecified
23	8.13600e-01	5.91500e-80	8.18500e-01	1.13300e-81	9.94000e-01	unspecified
25	6.28100e-01	6.04400e-38	6.56400e-01	2.04500e-42	9.56900e-01	unspecified
26	-5.27400e-03	9.23600e-01	3.42400e-02	5.33600e-01	-1.54000e-01	unspecified
27	3.18500e-02	5.62500e-01	1.30800e-01	1.69700e-02	2.43600e-01	unspecified
30	-5.56300e-03	9.19400e-01	2.34900e-02	6.69400e-01	-2.36900e-01	unspecified
31	2.21700e-01	4.48500e-05	1.79300e-01	1.01300e-03	1.23600e+00	unspecified
34	1.60400e-01	3.33600e-03	3.34500e-01	3.78300e-10	4.79500e-01	unspecified
38	2.42800e-01	7.40600e-06	1.96200e-01	3.15600e-04	1.23800e+00	unspecified
39	1.75100e-01	1.33200e-03	1.70200e-01	1.82700e-03	1.02900e+00	unspecified
40	1.61400e-01	3.14700e-03	1.02200e-01	6.25500e-02	1.57900e+00	unspecified
41	-5.03500e-02	3.59700e-01	-6.82100e-03	9.01300e-01	7.38100e+00	unspecified
49	1.70400e-01	1.80700e-03	1.70500e-01	1.79300e-03	9.99200e-01	unspecified
54	1.20900e-01	2.74400e-02	1.52100e-01	5.40900e-03	7.94500e-01	unspecified
57	2.44500e-01	6.36900e-06	1.50500e-01	5.93200e-03	1.62500e+00	unspecified
61	1.07100e-01	5.09500e-02	2.10800e-02	7.01500e-01	5.07900e+00	unspecified
63	7.45100e-01	3.59000e-60	7.54300e-01	1.88600e-62	9.87700e-01	unspecified
64	7.38200e-01	1.51100e-58	4.79600e-01	1.46600e-20	1.53900e+00	unspecified
65	3.37900e-01	2.44200e-10	2.43300e-01	7.09400e-06	1.38900e+00	unspecified
67	7.10000e-01	2.38800e-52	6.42300e-02	2.42400e-01	1.10500e+01	unspecified
69	7.26600e-01	6.65600e-56	3.54200e-01	2.82200e-11	2.05200e+00	unspecified
71	7.77000e-01	1.63200e-68	5.49700e-01	1.09400e-27	1.41400e+00	unspecified
72	3.83500e-01	4.12600e-13	3.37900e-01	2.44200e-10	1.13500e+00	unspecified
74	5.10800e-02	3.52700e-01	1.39100e-01	1.10600e-02	3.67300e-01	unspecified
76	1.54200e-01	4.81200e-03	3.33100e-01	4.53100e-10	4.62800e-01	unspecified
77	6.79900e-01	1.67200e-46	3.05500e-01	1.26300e-08	2.22500e+00	unspecified
78	7.12500e-02	1.94600e-01	6.92800e-02	2.07300e-01	1.02800e+00	unspecified
79	2.33500e-01	1.67000e-05	1.79500e-01	1.00300e-03	1.30100e+00	unspecified
87	3.49800e-01	5.07700e-11	3.36900e-01	2.79000e-10	1.03800e+00	unspecified
88	5.64500e-02	3.04400e-01	-7.20500e-03	8.95800e-01	-7.83500e+00	unspecified
89	2.61300e-01	1.33100e-06	7.53300e-03	8.91100e-01	3.46900e+01	unspecified
90	2.99600e-01	2.48400e-08	2.34600e-01	1.51700e-05	1.27700e+00	unspecified
98	1.80700e-01	9.25400e-04	2.50200e-01	3.78500e-06	7.22100e-01	unspecified
99	2.06200e-01	1.51100e-04	1.12600e-01	4.00600e-02	1.83200e+00	unspecified
100	1.61000e-01	3.21500e-03	1.12600e-01	4.00600e-02	1.43000e+00	unspecified
108	3.00800e-02	5.84400e-01	-6.82100e-03	9.01300e-01	-4.41000e+00	unspecified
109	9.86200e-02	7.22800e-02	7.53300e-03	8.91100e-01	1.30900e+01	unspecified
110	-4.39800e-02	4.23800e-01	-6.58300e-02	2.30900e-01	6.68000e-01	unspecified
113	-7.20500e-03	8.95800e-01	9.19700e-02	9.38400e-02	-7.83400e-02	unspecified
115	3.34500e-01	3.78300e-10	1.41600e-01	9.65900e-03	2.36200e+00	unspecified
118	2.34600e-01	1.51700e-05	2.58400e-01	1.76900e-06	9.08200e-01	unspecified
120	-3.77100e-02	4.92800e-01	-1.99900e-02	7.16300e-01	1.88700e+00	unspecified
124	7.53300e-03	8.91100e-01	1.68200e-02	7.59700e-01	4.47800e-01	unspecified
127	1.96200e-01	3.15600e-04	2.86500e-01	1.03400e-07	6.84800e-01	unspecified
