Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	6.88700e-01	3.77300e-48	7.42500e-01	1.43500e-59	9.27500e-01	unspecified
1	5.01400e-01	1.35100e-22	2.96800e-01	3.37200e-08	1.68900e+00	unspecified
2	2.93800e-01	4.68400e-08	3.81200e-01	5.87600e-13	7.70900e-01	unspecified
3	7.67600e-01	6.50400e-66	7.60400e-01	5.15000e-64	1.00900e+00	unspecified
4	6.21300e-01	6.14000e-37	6.08100e-01	4.74600e-35	1.02200e+00	unspecified
5	5.30100e-01	1.58900e-25	5.21800e-01	1.18400e-24	1.01600e+00	unspecified
10	1.75300e-01	1.31800e-03	8.62700e-02	1.16100e-01	2.03200e+00	unspecified
14	6.41400e-01	5.57700e-40	6.64100e-01	1.02100e-43	9.65700e-01	unspecified
15	4.92100e-01	1.03800e-21	4.52900e-01	2.99800e-18	1.08600e+00	unspecified
16	4.13800e-01	3.30700e-15	4.08900e-01	7.45400e-15	1.01200e+00	unspecified
17	1.67100e-01	2.22200e-03	2.45200e-01	5.97200e-06	6.81300e-01	unspecified
18	2.45200e-01	5.97200e-06	1.22500e-01	2.53500e-02	2.00100e+00	unspecified
23	7.47000e-01	1.20500e-60	7.48900e-01	4.14800e-61	9.97500e-01	unspecified
25	5.72600e-01	2.12100e-30	6.60900e-01	3.62200e-43	8.66400e-01	unspecified
26	-1.53000e-02	7.80800e-01	2.44200e-02	6.57100e-01	-6.26800e-01	unspecified
27	1.94200e-01	3.63700e-04	1.96000e-01	3.20600e-04	9.91000e-01	unspecified
30	9.31600e-02	8.96400e-02	8.37600e-03	8.79000e-01	1.11200e+01	unspecified
31	1.40700e-01	1.01500e-02	7.80800e-02	1.55100e-01	1.80200e+00	unspecified
34	1.83100e-01	7.89700e-04	2.74100e-01	3.77700e-07	6.68000e-01	unspecified
38	2.19000e-01	5.57700e-05	1.76400e-01	1.23100e-03	1.24200e+00	unspecified
39	1.37300e-01	1.21400e-02	2.30400e-01	2.18700e-05	5.96100e-01	unspecified
40	1.63600e-01	2.74800e-03	1.61200e-01	3.17200e-03	1.01500e+00	unspecified
41	1.53800e-01	4.90000e-03	2.70800e-02	6.22400e-01	5.68000e+00	unspecified
49	1.51900e-01	5.47200e-03	1.34100e-01	1.43200e-02	1.13300e+00	unspecified
54	2.11200e-01	1.03000e-04	1.94200e-01	3.63300e-04	1.08700e+00	unspecified
57	1.23900e-01	2.37100e-02	1.99300e-02	7.17100e-01	6.22000e+00	unspecified
61	1.42500e-01	9.22900e-03	1.05200e-01	5.51500e-02	1.35400e+00	unspecified
63	6.89700e-01	2.48400e-48	6.76200e-01	7.84000e-46	1.02000e+00	unspecified
64	6.33500e-01	9.21700e-39	4.52900e-01	2.99800e-18	1.39900e+00	unspecified
65	3.84900e-01	3.32100e-13	2.52900e-01	2.95500e-06	1.52200e+00	unspecified
67	6.81400e-01	8.71000e-47	1.27300e-01	2.01500e-02	5.35300e+00	unspecified
69	7.10700e-01	1.72200e-52	4.16800e-01	1.98600e-15	1.70500e+00	unspecified
71	6.52400e-01	9.46900e-42	4.48100e-01	7.47200e-18	1.45600e+00	unspecified
72	3.99800e-01	3.27000e-14	3.84900e-01	3.32100e-13	1.03900e+00	unspecified
74	3.34700e-02	5.42800e-01	1.21800e-01	2.62500e-02	2.74800e-01	unspecified
76	1.16600e-01	3.33900e-02	2.79000e-01	2.26800e-07	4.17900e-01	unspecified
77	5.74300e-01	1.29600e-30	2.22700e-01	4.12000e-05	2.57900e+00	unspecified
78	9.96000e-02	6.94900e-02	6.45200e-02	2.40300e-01	1.54400e+00	unspecified
79	3.02400e-01	1.79500e-08	2.68800e-01	6.37400e-07	1.12500e+00	unspecified
87	3.20300e-01	2.20300e-09	3.27500e-01	9.12100e-10	9.78100e-01	unspecified
88	1.45800e-01	7.68200e-03	1.80900e-01	9.15600e-04	8.06400e-01	unspecified
89	2.36700e-01	1.26700e-05	4.21200e-02	4.43600e-01	5.62000e+00	unspecified
90	2.92500e-01	5.39500e-08	1.89900e-01	4.94600e-04	1.54100e+00	unspecified
98	2.88000e-01	8.79300e-08	3.33100e-01	4.50700e-10	8.64600e-01	unspecified
99	2.92100e-01	5.64500e-08	4.88000e-02	3.74700e-01	5.98600e+00	unspecified
100	1.51400e-01	5.63500e-03	4.88000e-02	3.74700e-01	3.10200e+00	unspecified
108	9.85000e-02	7.26300e-02	9.25900e-02	9.16200e-02	1.06400e+00	unspecified
109	1.06500e-01	5.22500e-02	4.21200e-02	4.43600e-01	2.52800e+00	unspecified
110	-9.78600e-02	7.45300e-02	-1.24600e-01	2.29200e-02	7.85100e-01	unspecified
113	1.80900e-01	9.15600e-04	1.33600e-01	1.46800e-02	1.35400e+00	unspecified
115	2.74100e-01	3.77700e-07	1.38000e-01	1.17200e-02	1.98600e+00	unspecified
118	1.89900e-01	4.94600e-04	1.99300e-01	2.52700e-04	9.52800e-01	unspecified
120	-1.13200e-01	3.89300e-02	-6.33900e-02	2.48700e-01	1.78600e+00	unspecified
124	4.21200e-02	4.43600e-01	3.92000e-02	4.75900e-01	1.07500e+00	unspecified
127	1.76400e-01	1.23100e-03	3.40800e-01	1.69200e-10	5.17600e-01	unspecified
