Gene	Rho	P_val
ABCB1	-2.435e-02	6.579e-01
ABCC3	-8.425e-02	1.250e-01
ABL1	-3.611e-03	9.477e-01
ABL2	1.203e-01	2.815e-02
ACTA2	-1.206e-01	2.778e-02
ACVR1B	-2.304e-02	6.753e-01
ADGRA2	-1.469e-01	7.243e-03
AJUBA	-1.227e-01	2.517e-02
AKT1	-1.409e-01	1.006e-02
AKT2	-1.953e-01	3.374e-04
AKT3	2.334e-01	1.682e-05
ALK	-3.874e-02	4.811e-01
ALOX12B	1.534e-01	5.024e-03
AMER1	-1.856e-01	6.624e-04
ANKRD11	-3.642e-02	5.078e-01
APC	-2.542e-02	6.439e-01
APOB	2.376e-01	1.172e-05
AR	2.801e-01	2.025e-07
ARAF	1.192e-01	2.964e-02
ARFRP1	-2.197e-01	5.281e-05
ARHGAP26	-4.623e-02	4.004e-01
ARHGAP35	4.931e-03	9.286e-01
ARID1A	7.807e-05	9.989e-01
ARID1B	-5.482e-02	3.186e-01
ARID2	-2.566e-02	6.407e-01
ARID5B	-2.824e-02	6.076e-01
ASNS	4.557e-02	4.072e-01
ASXL1	5.977e-02	2.768e-01
ASXL2	-9.761e-02	7.527e-02
ATIC	-5.087e-02	3.548e-01
ATM	-3.330e-02	5.448e-01
ATP7B	-8.394e-03	8.787e-01
ATR	1.696e-01	1.896e-03
ATRX	-2.340e-01	1.599e-05
AURKA	-2.463e-01	5.428e-06
AURKB	-9.009e-02	1.007e-01
AXIN1	5.716e-02	2.984e-01
AXIN2	5.802e-02	2.912e-01
AXL	-4.979e-02	3.651e-01
B2M	1.154e-01	3.536e-02
BAP1	6.265e-02	2.543e-01
BARD1	2.957e-02	5.907e-01
BCAR1	-1.778e-02	7.466e-01
BCL10	1.998e-02	7.164e-01
BCL11B	1.599e-02	7.713e-01
BCL2	7.416e-02	1.770e-01
BCL2L1	-2.159e-01	7.137e-05
BCL2L11	3.481e-02	5.267e-01
BCL2L12	7.696e-02	1.612e-01
BCL2L2	-9.043e-02	9.947e-02
BCL6	6.861e-02	2.118e-01
BCL7A	5.734e-02	2.969e-01
BCLAF1	4.729e-02	3.897e-01
BCOR	-8.084e-02	1.410e-01
BCORL1	-1.544e-02	7.789e-01
BCR	2.303e-03	9.666e-01
BIRC3	-8.975e-02	1.021e-01
BLM	7.806e-02	1.552e-01
BMPR1A	-7.804e-02	1.553e-01
BRAF	-4.496e-02	4.135e-01
BRCA1	1.425e-01	9.239e-03
BRCA2	-5.549e-02	3.127e-01
BRD4	1.919e-02	7.272e-01
BRIP1	-3.257e-02	5.537e-01
BTG1	4.043e-04	9.941e-01
BTK	-1.105e-01	4.392e-02
BUB1B	-1.249e-01	2.263e-02
C11orf65	1.145e-02	8.350e-01
C3orf70	-1.401e-01	1.047e-02
C8orf34	8.607e-03	8.757e-01
CADM2	-1.285e-01	1.903e-02
CALR	4.827e-02	3.799e-01
CARD11	2.694e-02	6.242e-01
CASP8	5.874e-02	2.852e-01
CASR	1.888e-01	5.322e-04
CBFB	-3.463e-04	9.950e-01
CBL	-6.026e-02	2.728e-01
CBLB	1.014e-01	6.464e-02
CBLC	1.770e-01	1.182e-03
CBR3	1.942e-02	7.240e-01
CCDC6	-1.299e-01	1.774e-02
CCND1	-1.324e-02	8.097e-01
CCND2	-8.597e-02	1.174e-01
CCND3	-1.731e-01	1.522e-03
CCNE1	-2.213e-01	4.640e-05
CCNE2	-1.216e-01	2.651e-02
CD19	1.326e-01	1.547e-02
CD22	-1.603e-01	3.363e-03
CD274	1.022e-01	6.252e-02
CD276	2.919e-02	5.956e-01
CD40	1.521e-01	5.410e-03
CD70	-2.197e-02	6.896e-01
CD79A	-1.154e-01	3.530e-02
CD79B	2.345e-02	6.698e-01
CDC25A	1.079e-01	4.918e-02
CDC73	2.204e-01	4.964e-05
CDH1	-2.434e-01	7.039e-06
CDH2	-8.540e-02	1.198e-01
CDK12	1.105e-01	4.389e-02
CDK4	3.782e-03	9.452e-01
CDK5	4.299e-02	4.343e-01
CDK6	3.672e-02	5.042e-01
CDK8	1.660e-01	2.381e-03
CDKN1A	-1.289e-03	9.813e-01
CDKN1B	-5.806e-02	2.908e-01
CDKN1C	-1.637e-01	2.740e-03
CDKN2A	-3.293e-01	7.311e-10
CDKN2B	3.075e-01	1.010e-08
CDKN2C	6.526e-02	2.350e-01
CEBPA	1.276e-01	1.988e-02
CEP57	-4.917e-02	3.711e-01
CFTR	-5.980e-02	2.765e-01
CHD2	-9.621e-02	7.958e-02
CHD4	5.035e-02	3.597e-01
CHEK1	1.454e-01	7.868e-03
CHEK2	-7.905e-02	1.501e-01
CIC	-9.373e-02	8.767e-02
CIITA	-2.739e-02	6.185e-01
CKS1B	2.283e-01	2.588e-05
CREBBP	-7.648e-02	1.638e-01
CRKL	-2.061e-01	1.521e-04
CRLF2	8.005e-02	1.449e-01
CSF1R	1.194e-02	8.282e-01
CSF3R	-6.880e-02	2.105e-01
CTC1	5.453e-02	3.212e-01
CTCF	1.299e-01	1.771e-02
CTLA4	-1.304e-01	1.727e-02
CTNNA1	-8.839e-02	1.074e-01
CTNNB1	4.005e-03	9.420e-01
CTRC	-1.843e-01	7.253e-04
CUL3	-5.745e-02	2.959e-01
CUX1	1.202e-02	8.271e-01
CXCR4	3.691e-02	5.020e-01
CYLD	1.593e-01	3.564e-03
CYP1B1	5.017e-02	3.614e-01
CYP2D6	-3.804e-02	4.891e-01
CYP3A5	-2.536e-02	6.447e-01
DAXX	-2.409e-02	6.614e-01
DDB2	-1.167e-01	3.325e-02
DDR2	-2.060e-01	1.538e-04
DDX3X	6.512e-02	2.360e-01
DICER1	1.179e-01	3.148e-02
DIS3	-2.146e-01	7.881e-05
DIS3L2	-9.220e-02	9.301e-02
DKC1	-1.304e-01	1.728e-02
DMD	5.534e-02	3.140e-01
DNM2	-1.431e-01	8.903e-03
DNMT1	-7.001e-02	2.026e-01
DNMT3A	-1.811e-01	9.023e-04
DNMT3B	-1.616e-01	3.105e-03
DOT1L	-2.852e-02	6.040e-01
DPYD	2.674e-02	6.268e-01
DYNC2H1	-4.189e-03	9.393e-01
E2F1	1.343e-01	1.418e-02
E2F2	7.610e-02	1.659e-01
E2F3	5.999e-02	2.750e-01
E2F4	-2.699e-02	6.236e-01
E2F5	4.546e-02	4.083e-01
E2F6	-1.298e-01	1.777e-02
EBF1	-5.320e-02	3.332e-01
ECT2L	-9.287e-03	8.659e-01
EED	-5.005e-02	3.626e-01
EGF	-4.036e-02	4.629e-01
EGFL7	-9.118e-02	9.669e-02
