Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	8.07600e-01	6.36600e-78	8.32300e-01	8.06100e-87	9.70400e-01	unspecified
1	6.13400e-01	8.45100e-36	3.66700e-01	4.92100e-12	1.67300e+00	unspecified
2	2.99500e-01	2.49400e-08	3.27200e-01	9.47100e-10	9.15300e-01	unspecified
3	7.89600e-01	3.46000e-72	8.01400e-01	6.99100e-76	9.85200e-01	unspecified
4	6.54400e-01	4.46600e-42	6.43300e-01	2.71800e-40	1.01700e+00	unspecified
5	5.54400e-01	3.13700e-28	5.47700e-01	1.86300e-27	1.01200e+00	unspecified
10	1.88200e-01	5.56100e-04	1.30000e-01	1.76300e-02	1.44800e+00	unspecified
14	6.65000e-01	7.10300e-44	6.69800e-01	1.06300e-44	9.92900e-01	unspecified
15	4.81500e-01	9.93600e-21	4.26000e-01	4.10400e-16	1.13000e+00	unspecified
16	4.59500e-01	8.52000e-19	4.64900e-01	2.94800e-19	9.88400e-01	unspecified
17	1.57800e-01	3.89400e-03	2.09400e-01	1.18400e-04	7.53500e-01	unspecified
18	2.09400e-01	1.18400e-04	1.06000e-01	5.32400e-02	1.97500e+00	unspecified
23	7.34700e-01	9.95700e-58	7.40000e-01	5.66000e-59	9.92800e-01	unspecified
25	6.88300e-01	4.55300e-48	7.15500e-01	1.67700e-53	9.62000e-01	unspecified
26	4.09500e-03	9.40700e-01	4.41000e-02	4.22500e-01	9.28700e-02	unspecified
27	2.03700e-01	1.82000e-04	1.81500e-01	8.78100e-04	1.12300e+00	unspecified
30	8.86100e-02	1.06500e-01	1.77000e-02	7.47600e-01	5.00600e+00	unspecified
31	2.50700e-01	3.61400e-06	1.84200e-01	7.33100e-04	1.36100e+00	unspecified
34	2.40500e-01	9.08400e-06	3.22700e-01	1.65800e-09	7.45400e-01	unspecified
38	1.49800e-01	6.16700e-03	2.75500e-01	3.24900e-07	5.43700e-01	unspecified
39	2.38300e-01	1.10200e-05	2.24200e-01	3.64600e-05	1.06300e+00	unspecified
40	1.87100e-01	5.97700e-04	1.54400e-01	4.73700e-03	1.21200e+00	unspecified
41	6.46900e-02	2.39100e-01	1.20000e-01	2.85600e-02	5.39100e-01	unspecified
49	-8.81000e-02	1.08500e-01	-7.31600e-02	1.82900e-01	1.20400e+00	unspecified
54	2.09300e-01	1.19600e-04	1.77000e-01	1.17700e-03	1.18200e+00	unspecified
57	2.00500e-01	2.31500e-04	1.46600e-01	7.38700e-03	1.36800e+00	unspecified
61	1.61600e-01	3.11100e-03	8.17400e-02	1.36600e-01	1.97700e+00	unspecified
63	6.77000e-01	5.43500e-46	6.71800e-01	4.60800e-45	1.00800e+00	unspecified
64	6.49000e-01	3.38300e-41	4.26000e-01	4.10400e-16	1.52300e+00	unspecified
65	2.53900e-01	2.69000e-06	1.10600e-01	4.36700e-02	2.29500e+00	unspecified
67	6.59200e-01	6.99100e-43	-2.81600e-02	6.08600e-01	-2.34000e+01	unspecified
69	6.87800e-01	5.54200e-48	3.34400e-01	3.82700e-10	2.05700e+00	unspecified
71	7.08500e-01	4.87700e-52	5.01300e-01	1.36400e-22	1.41300e+00	unspecified
72	3.44200e-01	1.07100e-10	2.53900e-01	2.69000e-06	1.35600e+00	unspecified
74	1.18000e-01	3.14100e-02	2.06700e-01	1.45400e-04	5.70700e-01	unspecified
76	2.50400e-01	3.73000e-06	3.28400e-01	8.19700e-10	7.62500e-01	unspecified
77	6.03400e-01	2.09400e-34	1.94800e-01	3.48600e-04	3.09700e+00	unspecified
78	6.82100e-02	2.14400e-01	-4.35200e-02	4.28600e-01	-1.56700e+00	unspecified
79	2.43800e-01	6.78400e-06	2.19500e-01	5.33600e-05	1.11100e+00	unspecified
87	3.02000e-01	1.89700e-08	2.79800e-01	2.09000e-07	1.07900e+00	unspecified
88	9.56000e-02	8.15200e-02	-1.87800e-02	7.32700e-01	-5.09000e+00	unspecified
89	2.92100e-01	5.64700e-08	5.30900e-02	3.34200e-01	5.50300e+00	unspecified
90	2.24900e-01	3.43300e-05	2.32300e-01	1.84700e-05	9.68200e-01	unspecified
98	2.70500e-01	5.38200e-07	2.75300e-01	3.34300e-07	9.82900e-01	unspecified
99	2.39900e-01	9.63300e-06	1.03300e-01	5.95800e-02	2.32100e+00	unspecified
100	2.23400e-01	3.89800e-05	1.03300e-01	5.95800e-02	2.16200e+00	unspecified
108	3.35500e-02	5.41800e-01	2.44400e-03	9.64600e-01	1.37300e+01	unspecified
109	1.29800e-01	1.78100e-02	5.30900e-02	3.34200e-01	2.44500e+00	unspecified
110	-1.02300e-01	6.21700e-02	-1.14900e-01	3.60600e-02	8.90400e-01	unspecified
113	-1.87800e-02	7.32700e-01	1.66600e-01	2.28300e-03	-1.12700e-01	unspecified
115	3.22700e-01	1.65800e-09	2.18600e-01	5.74400e-05	1.47600e+00	unspecified
118	2.32300e-01	1.84700e-05	2.40900e-01	8.75900e-06	9.64400e-01	unspecified
120	2.71900e-02	6.21100e-01	4.97200e-02	3.65800e-01	5.46800e-01	unspecified
124	5.30900e-02	3.34200e-01	3.89600e-02	4.78600e-01	1.36300e+00	unspecified
127	2.75500e-01	3.24900e-07	2.89500e-01	7.53900e-08	9.51900e-01	unspecified
