Gene	Rho	P_val
ABCB1	-7.258e-02	1.864e-01
ABCC3	-3.042e-02	5.801e-01
ABL1	3.420e-02	5.340e-01
ABL2	6.662e-02	2.253e-01
ACTA2	-1.331e-01	1.508e-02
ACVR1B	-5.800e-02	2.913e-01
ADGRA2	-1.333e-01	1.494e-02
AJUBA	-1.027e-01	6.124e-02
AKT1	-1.936e-01	3.818e-04
AKT2	-3.981e-02	4.690e-01
AKT3	6.362e-02	2.469e-01
ALK	-4.631e-02	3.996e-01
ALOX12B	1.861e-02	7.350e-01
AMER1	-7.738e-02	1.589e-01
ANKRD11	3.682e-02	5.031e-01
APC	4.148e-02	4.505e-01
APOB	6.700e-02	2.227e-01
AR	1.734e-01	1.487e-03
ARAF	1.171e-01	3.266e-02
ARFRP1	-2.612e-01	1.347e-06
ARHGAP26	5.682e-02	3.012e-01
ARHGAP35	7.975e-02	1.465e-01
ARID1A	5.851e-03	9.153e-01
ARID1B	-5.505e-02	3.166e-01
ARID2	-3.808e-02	4.887e-01
ARID5B	2.364e-02	6.673e-01
ASNS	3.280e-02	5.508e-01
ASXL1	2.195e-01	5.335e-05
ASXL2	-4.650e-02	3.977e-01
ATIC	-1.633e-02	7.665e-01
ATM	-6.853e-02	2.123e-01
ATP7B	3.138e-02	5.682e-01
ATR	1.926e-01	4.092e-04
ATRX	-1.527e-01	5.240e-03
AURKA	-2.007e-01	2.278e-04
AURKB	-9.546e-02	8.198e-02
AXIN1	1.458e-02	7.909e-01
AXIN2	3.028e-02	5.819e-01
AXL	2.983e-02	5.876e-01
B2M	2.416e-02	6.605e-01
BAP1	3.175e-02	5.637e-01
BARD1	3.843e-02	4.846e-01
BCAR1	3.257e-02	5.536e-01
BCL10	4.846e-02	3.780e-01
BCL11B	-1.458e-02	7.909e-01
BCL2	9.963e-02	6.940e-02
BCL2L1	-3.738e-01	1.755e-12
BCL2L11	-2.208e-02	6.881e-01
BCL2L12	-5.587e-02	3.094e-01
BCL2L2	-6.958e-02	2.054e-01
BCL6	1.288e-01	1.875e-02
BCL7A	5.920e-02	2.814e-01
BCLAF1	4.170e-02	4.482e-01
BCOR	-7.020e-02	2.014e-01
BCORL1	-1.894e-02	7.306e-01
BCR	9.386e-02	8.726e-02
BIRC3	-1.547e-01	4.671e-03
BLM	6.371e-02	2.463e-01
BMPR1A	-9.528e-02	8.255e-02
BRAF	-4.455e-02	4.178e-01
BRCA1	1.058e-01	5.384e-02
BRCA2	-1.967e-02	7.207e-01
BRD4	-1.941e-02	7.242e-01
BRIP1	-2.714e-02	6.217e-01
BTG1	-4.164e-02	4.488e-01
BTK	-9.249e-02	9.197e-02
BUB1B	-1.438e-01	8.601e-03
C11orf65	2.234e-02	6.846e-01
C3orf70	-1.718e-01	1.646e-03
C8orf34	-6.060e-02	2.701e-01
CADM2	-1.485e-01	6.622e-03
CALR	8.058e-02	1.423e-01
CARD11	1.497e-01	6.215e-03
CASP8	-2.053e-03	9.702e-01
CASR	7.839e-02	1.535e-01
CBFB	7.234e-02	1.879e-01
CBL	-5.773e-02	2.935e-01
CBLB	-2.128e-02	6.988e-01
CBLC	7.039e-02	2.001e-01
CBR3	9.416e-02	8.625e-02
CCDC6	-8.309e-02	1.303e-01
CCND1	9.086e-02	9.788e-02
CCND2	-1.414e-01	9.758e-03
CCND3	-1.741e-01	1.423e-03
CCNE1	-6.869e-02	2.112e-01
CCNE2	-1.257e-01	2.182e-02
CD19	7.151e-02	1.930e-01
CD22	-3.509e-02	5.234e-01
CD274	5.648e-02	3.041e-01
CD276	7.662e-02	1.630e-01
CD40	2.716e-01	4.863e-07
CD70	1.175e-02	8.308e-01
CD79A	4.553e-02	4.076e-01
CD79B	5.304e-02	3.346e-01
CDC25A	8.292e-02	1.310e-01
CDC73	6.384e-02	2.453e-01
CDH1	-9.459e-02	8.479e-02
CDH2	-9.944e-02	6.995e-02
CDK12	-2.712e-02	6.219e-01
CDK4	2.401e-02	6.624e-01
CDK5	7.893e-02	1.507e-01
CDK6	-5.413e-02	3.247e-01
CDK8	1.081e-01	4.866e-02
CDKN1A	7.153e-02	1.929e-01
CDKN1B	-1.036e-01	5.895e-02
CDKN1C	-1.514e-01	5.639e-03
