Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	5.63800e-01	2.46900e-29	6.32800e-01	1.16100e-38	8.90900e-01	unspecified
1	3.63900e-01	7.26600e-12	2.50600e-01	3.64700e-06	1.45200e+00	unspecified
2	2.48400e-01	4.48100e-06	3.17900e-01	2.95400e-09	7.81300e-01	unspecified
3	7.05900e-01	1.65300e-51	6.98700e-01	4.58000e-50	1.01000e+00	unspecified
4	5.59300e-01	8.52800e-29	5.52500e-01	5.24700e-28	1.01200e+00	unspecified
5	5.11200e-01	1.45200e-23	4.82000e-01	8.99400e-21	1.06100e+00	unspecified
10	1.40000e-01	1.05300e-02	1.05700e-01	5.40800e-02	1.32500e+00	unspecified
14	7.07000e-01	1.00500e-51	7.52700e-01	4.70800e-62	9.39200e-01	unspecified
15	5.94400e-01	3.47400e-33	6.02000e-01	3.26300e-34	9.87300e-01	unspecified
16	6.44100e-01	2.02700e-40	6.51300e-01	1.43600e-41	9.89000e-01	unspecified
17	2.14500e-01	7.95100e-05	2.04400e-01	1.72300e-04	1.04900e+00	unspecified
18	2.04400e-01	1.72300e-04	1.43500e-01	8.72500e-03	1.42500e+00	unspecified
23	7.53000e-01	3.90500e-62	7.76400e-01	2.40700e-68	9.69900e-01	unspecified
25	5.41500e-01	9.19100e-27	6.10400e-01	2.24100e-35	8.87100e-01	unspecified
26	-9.06100e-02	9.88000e-02	6.93100e-04	9.89900e-01	-1.30700e+02	unspecified
27	1.78900e-01	1.04100e-03	1.05100e-01	5.54300e-02	1.70300e+00	unspecified
30	-9.45800e-02	8.48300e-02	1.63500e-02	7.66300e-01	-5.78600e+00	unspecified
31	2.67000e-01	7.64600e-07	1.97000e-01	2.98900e-04	1.35600e+00	unspecified
34	2.55100e-01	2.40600e-06	2.72700e-01	4.33000e-07	9.35400e-01	unspecified
38	3.45300e-01	9.33500e-11	2.79500e-01	2.15300e-07	1.23500e+00	unspecified
39	7.11100e-02	1.95500e-01	7.62500e-02	1.65100e-01	9.32700e-01	unspecified
40	9.52800e-02	8.25500e-02	3.07400e-02	5.76100e-01	3.09900e+00	unspecified
41	1.59500e-01	3.51400e-03	1.47000e-01	7.21400e-03	1.08500e+00	unspecified
49	-1.44500e-01	8.26200e-03	-1.14100e-01	3.73900e-02	1.26600e+00	unspecified
54	3.54000e-02	5.19800e-01	1.19500e-01	2.92500e-02	2.96200e-01	unspecified
57	1.74600e-01	1.38100e-03	1.55200e-01	4.53000e-03	1.12500e+00	unspecified
61	1.47600e-02	7.88500e-01	7.39500e-02	1.78300e-01	1.99600e-01	unspecified
63	6.89800e-01	2.38300e-48	7.02300e-01	8.53500e-51	9.82100e-01	unspecified
64	6.99100e-01	3.69200e-50	6.02000e-01	3.26300e-34	1.16100e+00	unspecified
65	4.15400e-01	2.51500e-15	3.83100e-01	4.38000e-13	1.08400e+00	unspecified
67	6.99900e-01	2.66700e-50	2.02400e-01	2.00200e-04	3.45700e+00	unspecified
69	6.85400e-01	1.62900e-47	4.77100e-01	2.49700e-20	1.43700e+00	unspecified
71	7.67200e-01	8.24600e-66	6.50400e-01	1.97000e-41	1.18000e+00	unspecified
72	4.09400e-01	6.91500e-15	4.15400e-01	2.51500e-15	9.85400e-01	unspecified
74	1.11300e-01	4.24600e-02	-1.29300e-03	9.81200e-01	-8.60300e+01	unspecified
76	1.21800e-01	2.62900e-02	2.94600e-01	4.32300e-08	4.13400e-01	unspecified
77	6.49900e-01	2.44100e-41	5.23800e-02	3.40700e-01	1.24100e+01	unspecified
78	1.07500e-01	4.98900e-02	7.96300e-02	1.47100e-01	1.35100e+00	unspecified
79	1.77800e-01	1.12400e-03	2.31600e-02	6.73700e-01	7.67500e+00	unspecified
87	3.58900e-01	1.46000e-11	3.60800e-01	1.12400e-11	9.94800e-01	unspecified
88	-1.27800e-02	8.16300e-01	1.60800e-01	3.26400e-03	-7.94900e-02	unspecified
89	2.83600e-01	1.41100e-07	2.09500e-02	7.03300e-01	1.35400e+01	unspecified
90	3.62900e-01	8.42900e-12	2.98300e-01	2.86100e-08	1.21600e+00	unspecified
98	1.09600e-01	4.55800e-02	1.50100e-01	6.05200e-03	7.30300e-01	unspecified
99	1.65400e-01	2.45700e-03	5.21700e-02	3.42600e-01	3.17100e+00	unspecified
100	1.72100e-01	1.62400e-03	5.21700e-02	3.42600e-01	3.29800e+00	unspecified
108	-1.23600e-02	8.22200e-01	2.27700e-02	6.78800e-01	-5.42900e-01	unspecified
109	8.49900e-02	1.21600e-01	2.09500e-02	7.03300e-01	4.05800e+00	unspecified
110	1.59800e-01	3.46500e-03	1.59300e-01	3.56000e-03	1.00300e+00	unspecified
113	1.60800e-01	3.26400e-03	1.26700e-01	2.07200e-02	1.26900e+00	unspecified
115	2.72700e-01	4.33000e-07	1.28900e-01	1.86100e-02	2.11600e+00	unspecified
118	2.98300e-01	2.86100e-08	2.73800e-01	3.86500e-07	1.08900e+00	unspecified
120	-6.58900e-02	2.30500e-01	1.26200e-02	8.18500e-01	-5.22100e+00	unspecified
124	2.09500e-02	7.03300e-01	9.41800e-03	8.64000e-01	2.22400e+00	unspecified
127	2.79500e-01	2.15300e-07	2.95600e-01	3.83700e-08	9.45500e-01	unspecified
