Gene	Rho	P_val
ABCB1	-1.074e-01	5.021e-02
ABCC3	-3.631e-02	5.090e-01
ABL1	1.094e-01	4.613e-02
ABL2	2.524e-01	3.108e-06
ACTA2	-1.489e-01	6.501e-03
ACVR1B	-5.445e-02	3.219e-01
ADGRA2	-1.335e-01	1.479e-02
AJUBA	-4.839e-02	3.788e-01
AKT1	-1.536e-01	4.961e-03
AKT2	-4.708e-03	9.318e-01
AKT3	9.679e-02	7.776e-02
ALK	-2.518e-02	6.471e-01
ALOX12B	2.444e-01	6.416e-06
AMER1	-1.762e-01	1.248e-03
ANKRD11	-1.097e-01	4.554e-02
APC	5.768e-02	2.940e-01
APOB	2.408e-01	8.855e-06
AR	2.298e-01	2.293e-05
ARAF	7.483e-02	1.731e-01
ARFRP1	-1.970e-01	2.973e-04
ARHGAP26	1.350e-01	1.371e-02
ARHGAP35	5.622e-03	9.186e-01
ARID1A	3.018e-02	5.831e-01
ARID1B	-2.213e-02	6.875e-01
ARID2	-1.064e-01	5.238e-02
ARID5B	1.054e-01	5.463e-02
ASNS	-6.215e-02	2.580e-01
ASXL1	1.119e-01	4.124e-02
ASXL2	2.388e-02	6.641e-01
ATIC	-1.391e-02	8.004e-01
ATM	-8.796e-02	1.091e-01
ATP7B	-4.998e-02	3.633e-01
ATR	1.885e-01	5.428e-04
ATRX	-1.030e-01	6.048e-02
AURKA	-2.312e-01	2.035e-05
AURKB	-4.358e-02	4.280e-01
AXIN1	-8.029e-02	1.438e-01
AXIN2	-1.048e-01	5.598e-02
AXL	-3.602e-02	5.125e-01
B2M	1.193e-01	2.957e-02
BAP1	-7.005e-02	2.023e-01
BARD1	7.932e-03	8.853e-01
BCAR1	-2.620e-03	9.620e-01
BCL10	-4.987e-03	9.278e-01
BCL11B	-9.873e-02	7.196e-02
BCL2	1.238e-01	2.386e-02
BCL2L1	-2.652e-01	9.098e-07
BCL2L11	7.552e-02	1.692e-01
BCL2L12	7.240e-02	1.875e-01
BCL2L2	-6.384e-02	2.454e-01
BCL6	5.851e-02	2.871e-01
BCL7A	6.284e-02	2.528e-01
BCLAF1	8.911e-02	1.045e-01
BCOR	-1.246e-02	8.207e-01
BCORL1	2.947e-02	5.920e-01
BCR	-1.224e-02	8.239e-01
BIRC3	-1.502e-01	6.035e-03
BLM	6.194e-02	2.597e-01
BMPR1A	-1.204e-01	2.802e-02
BRAF	-9.093e-02	9.760e-02
BRCA1	2.066e-01	1.467e-04
BRCA2	-1.749e-01	1.352e-03
BRD4	-4.220e-02	4.428e-01
BRIP1	4.571e-02	4.058e-01
BTG1	-5.458e-02	3.207e-01
BTK	-7.360e-02	1.803e-01
BUB1B	-2.541e-01	2.653e-06
C11orf65	7.366e-02	1.800e-01
C3orf70	-1.722e-01	1.609e-03
C8orf34	5.873e-02	2.852e-01
CADM2	-1.021e-01	6.281e-02
CALR	1.351e-01	1.363e-02
CARD11	7.995e-02	1.455e-01
CASP8	1.970e-01	2.990e-04
CASR	2.267e-01	2.960e-05
CBFB	2.047e-03	9.703e-01
CBL	-1.742e-01	1.416e-03
CBLB	1.031e-01	6.026e-02
CBLC	1.079e-01	4.920e-02
CBR3	2.325e-02	6.725e-01
CCDC6	-4.794e-02	3.832e-01
