Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.41600e-01	2.36400e-59	7.52500e-01	5.39400e-62	9.85600e-01	unspecified
1	5.68400e-01	6.93100e-30	3.63200e-01	8.06800e-12	1.56500e+00	unspecified
2	2.82400e-01	1.59400e-07	3.03200e-01	1.64400e-08	9.31400e-01	unspecified
3	6.99000e-01	3.96800e-50	6.93700e-01	4.23500e-49	1.00800e+00	unspecified
4	5.58800e-01	9.60100e-29	5.60800e-01	5.56300e-29	9.96400e-01	unspecified
5	4.68000e-01	1.57900e-19	4.28500e-01	2.65300e-16	1.09200e+00	unspecified
10	2.27400e-01	2.79900e-05	1.29200e-01	1.83600e-02	1.76000e+00	unspecified
14	5.49100e-01	1.27000e-27	5.63700e-01	2.52100e-29	9.74100e-01	unspecified
15	4.13800e-01	3.28900e-15	3.58400e-01	1.57200e-11	1.15500e+00	unspecified
16	4.33400e-01	1.11300e-16	4.33400e-01	1.11800e-16	1.00000e+00	unspecified
17	1.09500e-01	4.58100e-02	1.22300e-01	2.56600e-02	8.95700e-01	unspecified
18	1.22300e-01	2.56600e-02	3.76500e-03	9.45400e-01	3.24800e+01	unspecified
23	6.79400e-01	2.01000e-46	6.68400e-01	1.81400e-44	1.01600e+00	unspecified
25	5.60600e-01	5.98700e-29	5.89700e-01	1.44000e-32	9.50600e-01	unspecified
26	1.46000e-01	7.62100e-03	2.88700e-02	5.99600e-01	5.05600e+00	unspecified
27	7.57800e-02	1.67700e-01	1.44100e-01	8.43800e-03	5.25800e-01	unspecified
30	-6.22200e-02	2.57500e-01	7.31600e-02	1.82900e-01	-8.50500e-01	unspecified
31	1.30700e-01	1.70300e-02	8.62900e-02	1.16000e-01	1.51400e+00	unspecified
34	1.22100e-01	2.58400e-02	2.77300e-01	2.71300e-07	4.40400e-01	unspecified
38	1.59300e-01	3.56100e-03	1.31800e-01	1.61200e-02	1.20900e+00	unspecified
39	1.59400e-01	3.54700e-03	1.85200e-01	6.85300e-04	8.60700e-01	unspecified
40	3.42200e-01	1.40400e-10	3.38100e-01	2.38800e-10	1.01200e+00	unspecified
41	-1.00700e-01	6.65000e-02	2.06900e-01	1.43500e-04	-4.86700e-01	unspecified
49	2.11000e-01	1.04900e-04	1.29300e-01	1.82900e-02	1.63200e+00	unspecified
54	1.94900e-01	3.45800e-04	9.51900e-02	8.28200e-02	2.04800e+00	unspecified
57	1.74600e-01	1.38100e-03	6.61600e-02	2.28600e-01	2.63900e+00	unspecified
61	1.02800e-01	6.10400e-02	9.27900e-02	9.09200e-02	1.10700e+00	unspecified
63	5.91500e-01	8.24600e-33	5.86400e-01	3.81400e-32	1.00900e+00	unspecified
64	5.54200e-01	3.34200e-28	3.58400e-01	1.57200e-11	1.54600e+00	unspecified
65	3.42100e-01	1.41400e-10	2.52800e-01	2.97900e-06	1.35300e+00	unspecified
67	5.64100e-01	2.25200e-29	2.89300e-02	5.98900e-01	1.95000e+01	unspecified
69	6.18300e-01	1.65500e-36	4.55900e-01	1.71400e-18	1.35600e+00	unspecified
71	5.96400e-01	1.86600e-33	4.59400e-01	8.71100e-19	1.29800e+00	unspecified
72	4.45200e-01	1.29600e-17	3.42100e-01	1.41400e-10	1.30100e+00	unspecified
74	1.57400e-01	3.99400e-03	1.51700e-01	5.54900e-03	1.03800e+00	unspecified
76	2.24000e-01	3.70200e-05	2.91800e-01	5.82000e-08	7.67600e-01	unspecified
77	4.19900e-01	1.18000e-15	2.37200e-01	1.21700e-05	1.77000e+00	unspecified
78	1.94500e-01	3.56000e-04	1.97400e-01	2.88700e-04	9.85300e-01	unspecified
79	2.38500e-01	1.08900e-05	1.01600e-01	6.39800e-02	2.34600e+00	unspecified
87	3.13200e-01	5.14400e-09	2.74300e-01	3.68500e-07	1.14200e+00	unspecified
88	1.58100e-01	3.82500e-03	1.53600e-01	4.97000e-03	1.02900e+00	unspecified
89	2.34100e-01	1.59000e-05	3.49800e-02	5.24700e-01	6.69200e+00	unspecified
90	1.88400e-01	5.49100e-04	1.17700e-01	3.17200e-02	1.60000e+00	unspecified
98	4.53800e-02	4.09200e-01	1.77700e-01	1.12900e-03	2.55400e-01	unspecified
99	1.53500e-01	5.00200e-03	4.42700e-02	4.20800e-01	3.46700e+00	unspecified
100	9.48500e-02	8.39600e-02	4.42700e-02	4.20800e-01	2.14300e+00	unspecified
108	1.59500e-01	3.52400e-03	1.28000e-01	1.94400e-02	1.24600e+00	unspecified
109	1.37400e-01	1.21100e-02	3.49800e-02	5.24700e-01	3.92700e+00	unspecified
110	3.05000e-02	5.79200e-01	1.89000e-02	7.31100e-01	1.61300e+00	unspecified
113	1.53600e-01	4.97000e-03	1.51700e-01	5.52400e-03	1.01200e+00	unspecified
115	2.77300e-01	2.71300e-07	1.46900e-01	7.26000e-03	1.88800e+00	unspecified
118	1.17700e-01	3.17200e-02	1.33600e-01	1.47000e-02	8.81300e-01	unspecified
120	-1.20300e-02	8.26900e-01	-7.27600e-03	8.94800e-01	1.65300e+00	unspecified
124	3.49800e-02	5.24700e-01	2.76300e-02	6.15400e-01	1.26600e+00	unspecified
127	1.31800e-01	1.61200e-02	1.05300e-01	5.50000e-02	1.25200e+00	unspecified
