Gene	Rho	P_val
ABCB1	-1.451e-01	7.982e-03
ABCC3	6.090e-02	2.678e-01
ABL1	9.575e-02	8.105e-02
ABL2	3.259e-02	5.534e-01
ACTA2	-5.294e-02	3.355e-01
ACVR1B	-8.450e-02	1.238e-01
ADGRA2	-1.807e-01	9.250e-04
AJUBA	-1.077e-01	4.951e-02
AKT1	-1.363e-01	1.277e-02
AKT2	-1.344e-01	1.413e-02
AKT3	1.580e-01	3.835e-03
ALK	-3.405e-02	5.358e-01
ALOX12B	8.851e-02	1.069e-01
AMER1	-2.127e-01	9.144e-05
ANKRD11	7.073e-02	1.980e-01
APC	-5.844e-03	9.154e-01
APOB	1.512e-01	5.689e-03
AR	2.855e-01	1.148e-07
ARAF	1.291e-01	1.841e-02
ARFRP1	-2.481e-01	4.621e-06
ARHGAP26	1.292e-02	8.143e-01
ARHGAP35	2.601e-02	6.363e-01
ARID1A	-6.203e-02	2.590e-01
ARID1B	-1.156e-01	3.493e-02
ARID2	-2.052e-02	7.091e-01
ARID5B	-3.406e-02	5.357e-01
ASNS	7.095e-02	1.965e-01
ASXL1	8.658e-02	1.148e-01
ASXL2	-7.809e-02	1.551e-01
ATIC	-4.157e-02	4.496e-01
ATM	6.338e-02	2.487e-01
ATP7B	-3.972e-03	9.424e-01
ATR	2.180e-01	6.052e-05
ATRX	-2.270e-01	2.892e-05
AURKA	-2.536e-01	2.758e-06
AURKB	-9.242e-02	9.224e-02
AXIN1	-5.230e-02	3.414e-01
AXIN2	2.639e-02	6.314e-01
AXL	2.906e-02	5.972e-01
B2M	8.320e-02	1.297e-01
BAP1	4.484e-02	4.148e-01
BARD1	8.456e-02	1.236e-01
BCAR1	-2.393e-02	6.636e-01
BCL10	-6.282e-02	2.530e-01
BCL11B	4.054e-02	4.609e-01
BCL2	1.468e-01	7.270e-03
BCL2L1	-2.910e-01	6.348e-08
BCL2L11	1.176e-01	3.197e-02
BCL2L12	1.260e-01	2.147e-02
BCL2L2	-1.494e-01	6.317e-03
BCL6	1.251e-01	2.237e-02
BCL7A	4.352e-02	4.286e-01
BCLAF1	1.035e-01	5.912e-02
BCOR	-1.062e-01	5.275e-02
BCORL1	-4.465e-02	4.167e-01
BCR	-3.726e-02	4.980e-01
BIRC3	-1.226e-01	2.524e-02
BLM	4.839e-02	3.788e-01
