Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.66700e-01	1.14600e-65	7.79500e-01	3.17000e-69	9.83500e-01	unspecified
1	6.39700e-01	9.95100e-40	3.53500e-01	3.07500e-11	1.81000e+00	unspecified
2	3.66500e-01	5.03200e-12	4.26600e-01	3.67700e-16	8.59100e-01	unspecified
3	7.26500e-01	7.12100e-56	7.21300e-01	9.67100e-55	1.00700e+00	unspecified
4	6.58700e-01	8.52800e-43	6.83000e-01	4.54200e-47	9.64500e-01	unspecified
5	5.72800e-01	1.97900e-30	5.47800e-01	1.81300e-27	1.04600e+00	unspecified
10	1.46200e-01	7.52300e-03	2.11200e-01	1.03300e-04	6.92500e-01	unspecified
14	5.84100e-01	7.60200e-32	5.84500e-01	6.72700e-32	9.99300e-01	unspecified
15	3.87000e-01	2.42800e-13	3.60400e-01	1.18600e-11	1.07400e+00	unspecified
16	4.80400e-01	1.25400e-20	4.22500e-01	7.54600e-16	1.13700e+00	unspecified
17	2.19200e-01	5.49400e-05	2.72700e-01	4.33300e-07	8.03700e-01	unspecified
18	2.72700e-01	4.33300e-07	1.62000e-01	3.03600e-03	1.68400e+00	unspecified
23	6.20000e-01	9.35400e-37	6.39200e-01	1.20000e-39	9.70000e-01	unspecified
25	6.60900e-01	3.53300e-43	6.70400e-01	8.37000e-45	9.85900e-01	unspecified
26	1.35000e-01	1.36500e-02	1.30000e-02	8.13100e-01	1.03900e+01	unspecified
27	1.23900e-01	2.37300e-02	2.51800e-02	6.47100e-01	4.92200e+00	unspecified
30	8.98400e-02	1.01700e-01	-9.79000e-04	9.85800e-01	-9.17600e+01	unspecified
31	2.28000e-01	2.66700e-05	2.38200e-01	1.11800e-05	9.57300e-01	unspecified
34	2.55500e-01	2.32500e-06	1.89100e-01	5.22100e-04	1.35100e+00	unspecified
38	1.69800e-01	1.87400e-03	2.71100e-01	5.10700e-07	6.26400e-01	unspecified
39	1.28500e-01	1.90000e-02	1.13400e-01	3.85400e-02	1.13300e+00	unspecified
40	1.77100e-01	1.17000e-03	1.04500e-01	5.68100e-02	1.69500e+00	unspecified
41	1.65700e-01	2.42400e-03	1.64800e-01	2.54900e-03	1.00500e+00	unspecified
49	-1.08600e-01	4.77000e-02	-1.15800e-01	3.47400e-02	9.38200e-01	unspecified
54	2.92600e-01	5.35700e-08	2.07800e-01	1.33800e-04	1.40800e+00	unspecified
57	1.68000e-01	2.10300e-03	1.05100e-01	5.54000e-02	1.59800e+00	unspecified
61	1.61800e-01	3.07200e-03	2.65700e-02	6.29000e-01	6.08800e+00	unspecified
63	5.82200e-01	1.33200e-31	5.81200e-01	1.75700e-31	1.00200e+00	unspecified
64	5.51100e-01	7.66600e-28	3.60400e-01	1.18600e-11	1.52900e+00	unspecified
65	1.97900e-01	2.80100e-04	1.59000e-01	3.61400e-03	1.24400e+00	unspecified
67	5.96100e-01	2.01400e-33	2.02100e-01	2.05500e-04	2.95000e+00	unspecified
69	6.60200e-01	4.67400e-43	3.57800e-01	1.71500e-11	1.84500e+00	unspecified
71	5.53400e-01	4.08200e-28	4.59500e-01	8.47200e-19	1.20400e+00	unspecified
72	3.25300e-01	1.19700e-09	1.97900e-01	2.80100e-04	1.64400e+00	unspecified
74	1.90300e-01	4.80200e-04	2.14400e-01	8.04100e-05	8.87700e-01	unspecified
76	2.03900e-01	1.79300e-04	1.91900e-01	4.28100e-04	1.06200e+00	unspecified
77	5.69300e-01	5.30500e-30	2.16100e-01	7.00100e-05	2.63400e+00	unspecified
78	1.23000e-01	2.48300e-02	2.09600e-03	9.69600e-01	5.86800e+01	unspecified
79	2.53400e-01	2.82700e-06	2.16800e-01	6.61500e-05	1.16800e+00	unspecified
87	4.00800e-01	2.79400e-14	3.52400e-01	3.57600e-11	1.13700e+00	unspecified
88	-1.50700e-01	5.84600e-03	1.41700e-02	7.96700e-01	-1.06400e+01	unspecified
89	3.26900e-01	9.91000e-10	1.04200e-01	5.74000e-02	3.13600e+00	unspecified
90	3.07200e-01	1.04300e-08	2.80300e-01	1.99400e-07	1.09600e+00	unspecified
98	2.26300e-01	3.06100e-05	2.17600e-01	6.25300e-05	1.04000e+00	unspecified
99	1.92200e-01	4.18900e-04	1.36200e-01	1.28500e-02	1.41100e+00	unspecified
100	2.32100e-01	1.88000e-05	1.36200e-01	1.28500e-02	1.70400e+00	unspecified
108	8.96800e-02	1.02300e-01	1.11300e-01	4.23500e-02	8.05600e-01	unspecified
109	2.44700e-01	6.26200e-06	1.04200e-01	5.74000e-02	2.34700e+00	unspecified
110	-4.14700e-02	4.50700e-01	-4.63500e-02	3.99100e-01	8.94600e-01	unspecified
113	1.41700e-02	7.96700e-01	1.00800e-01	6.60700e-02	1.40500e-01	unspecified
115	1.89100e-01	5.22100e-04	2.08400e-01	1.27900e-04	9.07500e-01	unspecified
118	2.80300e-01	1.99400e-07	2.92800e-01	5.27300e-08	9.57400e-01	unspecified
120	-4.21400e-02	4.43500e-01	-1.35200e-02	8.05900e-01	3.11700e+00	unspecified
124	1.04200e-01	5.74000e-02	1.05000e-01	5.54900e-02	9.92300e-01	unspecified
127	2.71100e-01	5.10700e-07	2.85200e-01	1.19200e-07	9.50500e-01	unspecified
