Gene	Rho	P_val
ABCB1	-1.094e-01	4.597e-02
ABCC3	1.071e-01	5.087e-02
ABL1	5.988e-02	2.759e-01
ABL2	5.955e-03	9.138e-01
ACTA2	-1.476e-01	6.991e-03
ACVR1B	-1.560e-01	4.312e-03
ADGRA2	-1.559e-01	4.345e-03
AJUBA	-1.889e-01	5.282e-04
AKT1	-9.695e-02	7.729e-02
AKT2	-9.414e-02	8.629e-02
AKT3	5.565e-02	3.113e-01
ALK	4.894e-02	3.733e-01
ALOX12B	1.241e-01	2.350e-02
AMER1	-1.749e-01	1.357e-03
ANKRD11	5.302e-02	3.348e-01
APC	-8.500e-02	1.216e-01
APOB	1.866e-01	6.208e-04
AR	2.410e-01	8.691e-06
ARAF	1.306e-01	1.707e-02
ARFRP1	-1.802e-01	9.554e-04
ARHGAP26	4.094e-02	4.565e-01
ARHGAP35	4.223e-02	4.424e-01
ARID1A	-7.760e-02	1.577e-01
ARID1B	-8.379e-02	1.270e-01
ARID2	-2.093e-02	7.035e-01
ARID5B	2.738e-02	6.186e-01
ASNS	1.121e-01	4.092e-02
ASXL1	1.263e-01	2.115e-02
ASXL2	-1.119e-01	4.130e-02
ATIC	-2.557e-02	6.420e-01
ATM	6.743e-02	2.197e-01
ATP7B	4.000e-02	4.670e-01
ATR	2.066e-01	1.463e-04
ATRX	-1.686e-01	2.017e-03
AURKA	-1.974e-01	2.907e-04
AURKB	-4.286e-02	4.357e-01
AXIN1	-1.485e-01	6.630e-03
AXIN2	-8.614e-02	1.167e-01
AXL	3.606e-02	5.119e-01
B2M	8.096e-02	1.404e-01
BAP1	5.915e-02	2.818e-01
BARD1	9.587e-02	8.065e-02
BCAR1	1.479e-02	7.880e-01
BCL10	-7.123e-02	1.948e-01
BCL11B	3.481e-02	5.267e-01
BCL2	7.057e-02	1.989e-01
BCL2L1	-2.479e-01	4.682e-06
BCL2L11	5.453e-02	3.211e-01
BCL2L12	1.248e-01	2.269e-02
BCL2L2	-1.374e-01	1.205e-02
BCL6	8.416e-02	1.254e-01
BCL7A	-9.621e-03	8.612e-01
BCLAF1	2.841e-03	9.588e-01
BCOR	-9.807e-02	7.392e-02
BCORL1	-4.182e-02	4.469e-01
BCR	-8.411e-03	8.785e-01
BIRC3	-7.561e-02	1.687e-01
BLM	1.055e-01	5.448e-02
BMPR1A	-9.819e-02	7.354e-02
BRAF	-1.613e-02	7.694e-01
BRCA1	1.271e-01	2.038e-02
BRCA2	-4.052e-02	4.611e-01
BRD4	-1.358e-01	1.315e-02
BRIP1	-7.028e-02	2.008e-01
BTG1	5.943e-02	2.795e-01
BTK	-1.024e-01	6.201e-02
BUB1B	-1.993e-01	2.527e-04
C11orf65	-1.096e-02	8.420e-01
C3orf70	-1.223e-01	2.558e-02
C8orf34	-1.433e-01	8.812e-03
CADM2	-1.316e-01	1.628e-02
CALR	2.312e-01	2.027e-05
CARD11	1.501e-01	6.073e-03
CASP8	8.458e-02	1.235e-01
CASR	2.071e-01	1.412e-04
CBFB	2.212e-02	6.876e-01
CBL	-2.210e-02	6.879e-01
CBLB	9.928e-02	7.039e-02
CBLC	1.387e-01	1.128e-02
CBR3	1.094e-01	4.597e-02
CCDC6	-4.329e-02	4.311e-01
CCND1	4.308e-02	4.333e-01
CCND2	-7.292e-02	1.844e-01
CCND3	-1.958e-01	3.256e-04
CCNE1	-1.988e-01	2.607e-04
CCNE2	-1.079e-01	4.912e-02
CD19	1.629e-01	2.870e-03
CD22	-3.503e-02	5.241e-01
CD274	4.941e-02	3.688e-01
CD276	-1.133e-02	8.368e-01
CD40	1.282e-01	1.929e-02
CD70	6.802e-02	2.157e-01
CD79A	-2.933e-02	5.939e-01
CD79B	4.468e-02	4.164e-01
CDC25A	1.332e-01	1.499e-02
CDC73	7.984e-02	1.460e-01
CDH1	-1.576e-01	3.926e-03
CDH2	-1.139e-01	3.770e-02
CDK12	3.509e-02	5.234e-01
CDK4	-4.799e-02	3.827e-01
CDK5	-1.190e-02	8.288e-01
CDK6	-1.643e-02	7.652e-01
CDK8	3.815e-02	4.878e-01
CDKN1A	1.143e-02	8.354e-01
CDKN1B	-1.139e-01	3.783e-02
CDKN1C	-1.577e-01	3.912e-03
CDKN2A	-2.377e-01	1.162e-05
CDKN2B	2.184e-01	5.839e-05
CDKN2C	5.018e-02	3.614e-01
CEBPA	6.434e-02	2.416e-01
CEP57	-1.042e-01	5.745e-02
CFTR	-1.179e-01	3.146e-02
CHD2	-6.251e-02	2.554e-01
CHD4	4.734e-02	3.892e-01
CHEK1	9.472e-02	8.436e-02
CHEK2	-1.623e-02	7.679e-01
CIC	-1.053e-01	5.498e-02
CIITA	-2.455e-02	6.553e-01
CKS1B	1.131e-01	3.922e-02
CREBBP	-4.227e-02	4.420e-01
CRKL	-9.324e-02	8.935e-02
CRLF2	1.199e-01	2.869e-02
CSF1R	-4.987e-02	3.644e-01
CSF3R	-1.426e-01	9.161e-03
CTC1	8.360e-02	1.279e-01
CTCF	1.020e-01	6.287e-02
CTLA4	-1.111e-01	4.276e-02
CTNNA1	-1.422e-01	9.370e-03
CTNNB1	-4.338e-02	4.301e-01
CTRC	-1.696e-01	1.900e-03
CUL3	-2.008e-02	7.150e-01
CUX1	1.330e-02	8.089e-01
CXCR4	3.119e-02	5.707e-01
CYLD	1.841e-01	7.372e-04
CYP1B1	1.385e-01	1.140e-02
CYP2D6	-4.743e-02	3.883e-01
CYP3A5	6.716e-02	2.216e-01
DAXX	5.259e-02	3.387e-01
DDB2	-1.197e-01	2.898e-02
DDR2	-9.031e-02	9.994e-02
DDX3X	8.388e-02	1.266e-01
DICER1	1.047e-01	5.636e-02
DIS3	-1.595e-01	3.522e-03
DIS3L2	-5.861e-02	2.862e-01
DKC1	-1.084e-01	4.811e-02
DMD	-2.095e-02	7.032e-01
DNM2	3.631e-02	5.090e-01
DNMT1	-1.996e-01	2.460e-04
DNMT3A	-1.871e-01	6.001e-04
DNMT3B	-1.656e-01	2.430e-03
DOT1L	-9.912e-02	7.085e-02
DPYD	4.580e-02	4.048e-01
DYNC2H1	2.204e-02	6.887e-01
E2F1	1.752e-01	1.324e-03
E2F2	-3.370e-02	5.400e-01
E2F3	5.929e-02	2.807e-01
E2F4	5.098e-02	3.537e-01
E2F5	1.323e-01	1.570e-02
E2F6	3.370e-02	5.400e-01
EBF1	3.657e-03	9.470e-01
ECT2L	-2.953e-02	5.913e-01
EED	-9.028e-02	1.001e-01
EGF	8.862e-02	1.065e-01
EGFL7	-9.698e-02	7.720e-02
EGFR	-1.183e-01	3.097e-02
EGLN1	-4.268e-02	4.376e-01
ELF3	-1.682e-01	2.074e-03
ELOC	-1.007e-01	6.651e-02
EMSY	1.078e-01	4.936e-02
ENG	1.700e-02	7.573e-01
EP300	4.325e-02	4.315e-01
EPCAM	2.258e-01	3.191e-05
EPHA2	-2.896e-02	5.985e-01
EPHA3	7.226e-02	1.884e-01
EPHA5	1.542e-01	4.798e-03
EPHA7	-1.162e-01	3.398e-02
EPHB1	1.505e-01	5.938e-03
EPHB2	5.160e-02	3.479e-01
EPOR	-1.021e-01	6.282e-02
ERBB2	2.010e-02	7.148e-01
ERBB3	4.689e-02	3.938e-01
ERBB4	-5.945e-02	2.794e-01
ERCC1	1.417e-01	9.629e-03
ERCC2	5.390e-03	9.219e-01
ERCC3	-1.941e-02	7.241e-01
ERCC4	-5.726e-03	9.171e-01
ERCC5	7.992e-02	1.456e-01
ERCC6	8.574e-02	1.184e-01
ERG	-1.409e-01	1.007e-02
ERRFI1	-1.322e-01	1.578e-02
ESR1	-8.294e-02	1.309e-01
ESR2	-1.577e-01	3.923e-03
ETS1	-1.122e-01	4.072e-02
ETS2	1.722e-02	7.542e-01
ETV1	-4.090e-02	4.570e-01
ETV4	2.279e-01	2.689e-05
ETV5	-8.264e-02	1.323e-01
ETV6	-9.574e-02	8.108e-02
EWSR1	-1.132e-01	3.894e-02
EXT2	8.109e-02	1.398e-01
EZH2	3.215e-02	5.588e-01
FAM46C	2.184e-02	6.913e-01
FANCA	8.826e-02	1.079e-01
FANCB	-3.750e-02	4.952e-01
FANCC	4.870e-02	3.756e-01
FANCD2	6.725e-02	2.210e-01
FANCE	-4.094e-02	4.566e-01
FANCF	-1.031e-01	6.019e-02
FANCG	2.968e-02	5.894e-01
FANCI	5.051e-02	3.582e-01
FANCL	-1.009e-01	6.580e-02
FANCM	3.526e-02	5.214e-01
FAS	-7.851e-02	1.528e-01
FAT1	-1.552e-02	7.779e-01
FBXO11	-1.718e-03	9.751e-01
FBXW7	-4.795e-02	3.831e-01
FCGR2A	4.647e-02	3.980e-01
FCGR3A	-7.705e-02	1.607e-01
FDPS	3.209e-02	5.595e-01
FGF1	3.556e-02	5.179e-01
FGF10	2.521e-01	3.173e-06
FGF14	2.293e-01	2.393e-05
FGF19	-7.749e-03	8.880e-01
FGF2	-3.058e-02	5.782e-01
FGF23	-1.449e-01	8.103e-03
FGF3	1.126e-01	3.996e-02
FGF4	-5.966e-02	2.777e-01
FGF5	-2.795e-02	6.114e-01
FGF6	-1.365e-01	1.265e-02
FGF7	1.542e-02	7.793e-01
FGF8	-3.843e-02	4.847e-01
FGF9	-4.770e-02	3.856e-01
FGFR1	-2.225e-02	6.858e-01
FGFR2	5.406e-02	3.254e-01
FGFR3	-5.268e-02	3.378e-01
FGFR4	3.298e-02	5.487e-01
FH	-1.261e-02	8.187e-01
FHIT	-1.860e-01	6.469e-04
FLCN	-2.959e-02	5.906e-01
FLG	-1.423e-01	9.341e-03
FLT1	3.816e-02	4.877e-01
FLT3	-6.774e-02	2.176e-01
FLT4	-4.259e-02	4.386e-01
FNTB	-7.333e-02	1.819e-01
FOXA1	1.127e-01	3.981e-02
FOXL2	-1.606e-01	3.298e-03
FOXO1	5.543e-02	3.132e-01
FOXO3	7.660e-02	1.631e-01
FOXP1	3.491e-02	5.255e-01
FOXQ1	1.377e-01	1.190e-02
FRS2	-6.142e-02	2.637e-01
FUBP1	1.574e-01	3.976e-03
FUS	-1.512e-01	5.689e-03
FYN	1.138e-01	3.790e-02
G6PD	-4.980e-02	3.649e-01
GABRA6	-5.408e-02	3.252e-01
GALNT12	-2.278e-02	6.787e-01
