Term	P_rho	P_pval	C_rho	C_pval	RLIPP
0	7.788e-01	4.945e-69	7.799e-01	2.532e-69	9.987e-01
1	6.308e-01	2.362e-38	3.428e-01	1.287e-10	1.840e+00
2	3.552e-01	2.441e-11	4.242e-01	5.633e-16	8.374e-01
3	6.998e-01	2.795e-50	6.736e-01	2.229e-45	1.039e+00
4	6.046e-01	1.428e-34	6.004e-01	5.437e-34	1.007e+00
5	5.356e-01	4.049e-26	4.967e-01	3.828e-22	1.078e+00
10	1.449e-01	8.072e-03	1.618e-01	3.063e-03	8.957e-01
14	5.635e-01	2.652e-29	5.683e-01	7.028e-30	9.916e-01
15	4.117e-01	4.673e-15	3.520e-01	3.768e-11	1.170e+00
16	3.977e-01	4.606e-14	3.878e-01	2.137e-13	1.025e+00
17	1.617e-01	3.079e-03	2.425e-01	7.651e-06	6.671e-01
18	2.425e-01	7.651e-06	1.407e-01	1.014e-02	1.723e+00
23	6.404e-01	8.008e-40	6.459e-01	1.055e-40	9.914e-01
25	5.646e-01	2.003e-29	5.956e-01	2.350e-33	9.478e-01
26	-8.142e-02	1.382e-01	3.830e-02	4.861e-01	-2.126e+00
27	1.447e-01	8.174e-03	6.705e-02	2.223e-01	2.158e+00
30	1.744e-01	1.402e-03	7.091e-02	1.968e-01	2.459e+00
31	2.251e-01	3.384e-05	1.743e-01	1.407e-03	1.292e+00
34	1.727e-01	1.560e-03	1.902e-01	4.821e-04	9.078e-01
38	1.808e-01	9.178e-04	8.189e-02	1.359e-01	2.208e+00
39	1.133e-01	3.878e-02	1.595e-01	3.525e-03	7.105e-01
40	1.085e-01	4.794e-02	9.208e-02	9.343e-02	1.178e+00
41	2.690e-02	6.247e-01	-8.651e-02	1.151e-01	-3.110e-01
49	9.247e-02	9.205e-02	-2.695e-02	6.241e-01	-3.431e+00
54	3.216e-01	1.883e-09	2.089e-01	1.229e-04	1.540e+00
57	2.141e-01	8.185e-05	1.410e-01	1.001e-02	1.519e+00
61	3.912e-02	4.768e-01	1.669e-01	2.240e-03	2.344e-01
63	6.161e-01	3.480e-36	5.993e-01	7.478e-34	1.028e+00
64	5.364e-01	3.356e-26	3.520e-01	3.768e-11	1.524e+00
65	2.193e-01	5.428e-05	1.582e-01	3.795e-03	1.386e+00
67	5.577e-01	1.308e-28	-4.446e-02	4.187e-01	-1.254e+01
69	5.925e-01	6.207e-33	2.609e-01	1.389e-06	2.271e+00
71	5.768e-01	6.428e-31	3.793e-01	7.765e-13	1.521e+00
72	2.829e-01	1.513e-07	2.193e-01	5.428e-05	1.290e+00
74	6.922e-02	2.077e-01	2.030e-01	1.924e-04	3.410e-01
76	1.638e-01	2.723e-03	2.287e-01	2.505e-05	7.159e-01
77	5.087e-01	2.584e-23	2.752e-01	3.367e-07	1.848e+00
78	1.303e-01	1.740e-02	1.440e-01	8.477e-03	9.042e-01
79	2.721e-01	4.588e-07	1.986e-01	2.658e-04	1.370e+00
87	3.101e-01	7.404e-09	2.942e-01	4.479e-08	1.054e+00
88	-5.783e-02	2.927e-01	5.779e-02	2.931e-01	-1.001e+00
89	3.138e-01	4.845e-09	9.894e-02	7.136e-02	3.171e+00
90	2.429e-01	7.349e-06	2.345e-01	1.537e-05	1.036e+00
98	1.638e-01	2.717e-03	2.488e-01	4.328e-06	6.584e-01
99	2.373e-01	1.208e-05	1.583e-01	3.772e-03	1.499e+00
100	2.504e-01	3.721e-06	1.583e-01	3.772e-03	1.582e+00
108	7.052e-02	1.993e-01	6.645e-02	2.265e-01	1.061e+00
109	2.223e-01	4.269e-05	9.894e-02	7.136e-02	2.247e+00
110	1.672e-01	2.202e-03	7.393e-02	1.784e-01	2.262e+00
113	5.779e-02	2.931e-01	1.375e-01	1.204e-02	4.204e-01
115	1.902e-01	4.821e-04	1.188e-01	3.025e-02	1.602e+00
118	2.345e-01	1.537e-05	2.443e-01	6.518e-06	9.600e-01
120	-9.313e-02	8.976e-02	-5.046e-02	3.586e-01	1.845e+00
124	9.894e-02	7.136e-02	8.780e-02	1.097e-01	1.127e+00
127	8.189e-02	1.359e-01	1.416e-01	9.670e-03	5.783e-01
