Gene	Rho	P_val
ABCB1	-1.444e-01	8.321e-03
ABCC3	1.011e-01	6.532e-02
ABL1	1.583e-01	3.785e-03
ABL2	7.577e-02	1.678e-01
ACTA2	-7.998e-02	1.453e-01
ACVR1B	-8.585e-02	1.179e-01
ADGRA2	-1.166e-01	3.341e-02
AJUBA	-8.211e-02	1.348e-01
AKT1	-1.158e-01	3.458e-02
AKT2	-1.233e-01	2.442e-02
AKT3	4.214e-02	4.434e-01
ALK	-2.560e-02	6.415e-01
ALOX12B	9.261e-02	9.156e-02
AMER1	-1.041e-01	5.768e-02
ANKRD11	-3.240e-02	5.558e-01
APC	1.963e-02	7.212e-01
APOB	1.532e-01	5.098e-03
AR	1.512e-01	5.697e-03
ARAF	2.692e-02	6.245e-01
ARFRP1	-1.514e-01	5.623e-03
ARHGAP26	1.261e-02	8.187e-01
ARHGAP35	-6.128e-02	2.648e-01
ARID1A	-4.849e-02	3.777e-01
ARID1B	-1.295e-03	9.812e-01
ARID2	-1.411e-01	9.935e-03
ARID5B	7.265e-02	1.860e-01
ASNS	8.924e-02	1.040e-01
ASXL1	4.612e-02	4.015e-01
ASXL2	-4.750e-02	3.876e-01
ATIC	-4.026e-02	4.640e-01
ATM	5.887e-02	2.841e-01
ATP7B	7.157e-02	1.926e-01
ATR	1.872e-01	5.964e-04
ATRX	-1.098e-01	4.520e-02
AURKA	-1.309e-01	1.689e-02
AURKB	6.300e-02	2.516e-01
AXIN1	-4.425e-02	4.209e-01
AXIN2	-9.728e-02	7.628e-02
AXL	2.621e-02	6.337e-01
B2M	3.847e-02	4.841e-01
BAP1	-2.117e-02	7.003e-01
BARD1	1.162e-01	3.401e-02
BCAR1	-1.590e-02	7.726e-01
BCL10	-5.139e-02	3.498e-01
BCL11B	9.371e-02	8.775e-02
BCL2	9.531e-02	8.246e-02
BCL2L1	-1.313e-01	1.655e-02
BCL2L11	9.281e-02	9.085e-02
BCL2L12	1.687e-01	2.003e-03
BCL2L2	-5.430e-02	3.232e-01
BCL6	1.193e-02	8.284e-01
BCL7A	1.225e-01	2.536e-02
BCLAF1	8.357e-02	1.280e-01
BCOR	-1.643e-02	7.652e-01
BCORL1	5.531e-02	3.143e-01
BCR	-5.517e-02	3.155e-01
BIRC3	-1.401e-01	1.051e-02
BLM	2.177e-02	6.922e-01
BMPR1A	-6.060e-02	2.702e-01
BRAF	-2.529e-02	6.457e-01
BRCA1	1.715e-01	1.680e-03
BRCA2	-5.009e-02	3.621e-01
BRD4	-1.232e-01	2.457e-02
BRIP1	-1.100e-01	4.485e-02
BTG1	-7.480e-02	1.733e-01
BTK	-5.406e-02	3.253e-01
BUB1B	-2.575e-01	1.925e-06
C11orf65	-3.610e-02	5.116e-01
C3orf70	-7.967e-02	1.469e-01
C8orf34	-2.301e-02	6.757e-01
CADM2	-1.306e-01	1.708e-02
CALR	5.112e-02	3.524e-01
CARD11	1.003e-01	6.750e-02
CASP8	5.461e-02	3.205e-01
CASR	1.793e-01	1.016e-03
CBFB	1.982e-02	7.185e-01
CBL	-1.472e-01	7.149e-03
CBLB	1.302e-02	8.129e-01
CBLC	1.796e-01	9.944e-04
CBR3	2.628e-02	6.328e-01
CCDC6	-6.004e-02	2.746e-01
CCND1	-2.322e-02	6.730e-01
CCND2	-7.046e-02	1.997e-01
CCND3	-2.027e-01	1.958e-04
CCNE1	-1.880e-01	5.624e-04
CCNE2	-5.786e-02	2.925e-01
CD19	7.331e-02	1.821e-01
CD22	-1.310e-01	1.673e-02
CD274	1.039e-01	5.825e-02
CD276	-3.168e-02	5.646e-01
CD40	7.570e-02	1.681e-01
CD70	1.106e-01	4.366e-02
CD79A	-1.461e-01	7.587e-03
CD79B	1.342e-01	1.422e-02
CDC25A	4.851e-02	3.776e-01
CDC73	1.285e-01	1.896e-02
CDH1	-1.336e-01	1.469e-02
CDH2	-8.515e-02	1.209e-01
CDK12	2.979e-03	9.568e-01
CDK4	7.854e-03	8.865e-01
CDK5	-2.995e-02	5.860e-01
CDK6	-6.330e-03	9.084e-01
CDK8	1.335e-01	1.477e-02
CDKN1A	2.045e-03	9.703e-01
CDKN1B	-1.639e-01	2.702e-03
CDKN1C	-1.607e-01	3.279e-03
CDKN2A	-2.131e-01	8.878e-05
CDKN2B	2.413e-01	8.511e-06
CDKN2C	7.550e-02	1.693e-01
CEBPA	9.840e-02	7.293e-02
CEP57	-1.076e-01	4.978e-02
CFTR	-2.203e-01	5.009e-05
CHD2	-1.019e-02	8.531e-01
CHD4	8.169e-02	1.368e-01
CHEK1	1.468e-01	7.274e-03
CHEK2	-7.669e-02	1.627e-01
CIC	-4.854e-02	3.773e-01
CIITA	-2.444e-02	6.568e-01
CKS1B	7.363e-02	1.801e-01
CREBBP	-1.072e-01	5.060e-02
CRKL	-7.340e-02	1.815e-01
CRLF2	9.834e-02	7.312e-02
CSF1R	-7.252e-02	1.868e-01
CSF3R	-5.972e-02	2.772e-01
CTC1	1.658e-02	7.630e-01
CTCF	-2.823e-02	6.077e-01
CTLA4	-1.597e-01	3.479e-03
CTNNA1	-9.841e-02	7.290e-02
CTNNB1	-1.278e-01	1.965e-02
CTRC	-1.456e-01	7.795e-03
CUL3	-1.054e-01	5.477e-02
CUX1	-7.256e-02	1.866e-01
CXCR4	1.041e-01	5.777e-02
CYLD	7.388e-02	1.786e-01
CYP1B1	6.605e-02	2.293e-01
CYP2D6	-9.798e-02	7.417e-02
CYP3A5	-3.715e-02	4.993e-01
DAXX	-4.008e-02	4.660e-01
DDB2	-1.167e-01	3.325e-02
DDR2	-1.129e-01	3.957e-02
DDX3X	-2.069e-02	7.068e-01
DICER1	1.877e-01	5.741e-04
DIS3	-2.549e-01	2.443e-06
DIS3L2	-4.967e-02	3.662e-01
DKC1	-5.920e-02	2.814e-01
DMD	-9.228e-02	9.274e-02
DNM2	6.365e-02	2.467e-01
DNMT1	-1.596e-01	3.493e-03
DNMT3A	-9.464e-02	8.464e-02
DNMT3B	-1.479e-01	6.854e-03
DOT1L	-1.045e-01	5.669e-02
