Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.50300e-01	1.85600e-61	7.41600e-01	2.39300e-59	1.01200e+00	unspecified
1	5.72600e-01	2.08800e-30	3.39100e-01	2.10400e-10	1.68900e+00	unspecified
2	2.95600e-01	3.86600e-08	2.25600e-01	3.26100e-05	1.31000e+00	unspecified
3	6.81500e-01	8.26500e-47	6.63100e-01	1.52600e-43	1.02800e+00	unspecified
4	6.15600e-01	4.02300e-36	6.07100e-01	6.45200e-35	1.01400e+00	unspecified
5	4.61000e-01	6.36800e-19	4.54900e-01	2.06900e-18	1.01300e+00	unspecified
10	8.64600e-02	1.15300e-01	1.09100e-01	4.66300e-02	7.92300e-01	unspecified
14	5.91800e-01	7.57200e-33	5.95000e-01	2.89600e-33	9.94700e-01	unspecified
15	4.26900e-01	3.49200e-16	4.07700e-01	9.04800e-15	1.04700e+00	unspecified
16	4.20400e-01	1.08600e-15	4.26900e-01	3.51300e-16	9.84700e-01	unspecified
17	2.04700e-01	1.69300e-04	1.77400e-01	1.15400e-03	1.15400e+00	unspecified
18	1.77400e-01	1.15400e-03	2.61700e-02	6.34200e-01	6.77800e+00	unspecified
23	6.41300e-01	5.58100e-40	6.65700e-01	5.54300e-44	9.63500e-01	unspecified
25	5.71800e-01	2.64400e-30	6.03700e-01	1.92500e-34	9.47200e-01	unspecified
26	1.73300e-01	1.49700e-03	1.81700e-02	7.41200e-01	9.54100e+00	unspecified
27	3.42400e-02	5.33500e-01	7.27500e-02	1.85400e-01	4.70700e-01	unspecified
30	9.49300e-02	8.36900e-02	-1.08300e-01	4.82200e-02	-8.76200e-01	unspecified
31	1.61100e-01	3.20700e-03	1.17800e-01	3.16200e-02	1.36700e+00	unspecified
34	1.99800e-01	2.42400e-04	1.80700e-01	9.22200e-04	1.10600e+00	unspecified
38	1.96000e-01	3.21100e-04	1.53900e-01	4.87800e-03	1.27300e+00	unspecified
39	1.80600e-01	9.32100e-04	1.91900e-01	4.30300e-04	9.41200e-01	unspecified
40	1.53500e-01	5.00700e-03	1.32700e-01	1.54200e-02	1.15700e+00	unspecified
41	4.00600e-02	4.66300e-01	9.72200e-02	7.64700e-02	4.12100e-01	unspecified
49	-6.62300e-02	2.28000e-01	-2.83100e-02	6.06800e-01	2.34000e+00	unspecified
54	1.87600e-01	5.80900e-04	1.52100e-01	5.42900e-03	1.23400e+00	unspecified
57	1.81100e-01	8.98700e-04	1.04400e-01	5.69500e-02	1.73500e+00	unspecified
61	1.25400e-01	2.20800e-02	5.18100e-02	3.45900e-01	2.42100e+00	unspecified
63	6.37900e-01	1.94500e-39	6.24800e-01	1.86100e-37	1.02100e+00	unspecified
64	5.53400e-01	4.14900e-28	4.07700e-01	9.04800e-15	1.35700e+00	unspecified
65	3.35600e-01	3.29800e-10	2.79500e-01	2.15800e-07	1.20100e+00	unspecified
67	5.76000e-01	7.92600e-31	-1.37700e-02	8.02300e-01	-4.18400e+01	unspecified
69	6.17100e-01	2.48800e-36	3.60900e-01	1.11900e-11	1.71000e+00	unspecified
71	6.11700e-01	1.48500e-35	4.32400e-01	1.32400e-16	1.41500e+00	unspecified
72	3.60300e-01	1.21600e-11	3.35600e-01	3.29800e-10	1.07300e+00	unspecified
74	6.71200e-02	2.21900e-01	1.38400e-01	1.14600e-02	4.84900e-01	unspecified
76	1.64600e-01	2.58700e-03	1.51300e-01	5.65500e-03	1.08800e+00	unspecified
77	5.33100e-01	7.67800e-26	2.17500e-01	6.27000e-05	2.45100e+00	unspecified
78	1.82400e-01	8.24900e-04	1.33800e-01	1.45700e-02	1.36400e+00	unspecified
79	2.12200e-01	9.50900e-05	1.18000e-01	3.13700e-02	1.79900e+00	unspecified
87	2.25000e-01	3.40900e-05	2.46600e-01	5.28700e-06	9.12600e-01	unspecified
88	1.74400e-01	1.39700e-03	1.35400e-01	1.34000e-02	1.28800e+00	unspecified
89	1.77100e-01	1.17100e-03	4.57300e-02	4.05500e-01	3.87300e+00	unspecified
90	1.64100e-01	2.67300e-03	6.81800e-02	2.14600e-01	2.40600e+00	unspecified
98	1.61100e-01	3.20700e-03	2.48800e-01	4.30100e-06	6.47200e-01	unspecified
99	2.65500e-01	8.86600e-07	8.77900e-02	1.09800e-01	3.02400e+00	unspecified
100	1.53100e-01	5.12300e-03	8.77900e-02	1.09800e-01	1.74400e+00	unspecified
108	4.07800e-02	4.58300e-01	5.50000e-02	3.17000e-01	7.41400e-01	unspecified
109	1.50900e-01	5.79700e-03	4.57300e-02	4.05500e-01	3.29900e+00	unspecified
110	2.07200e-02	7.06400e-01	-2.81200e-02	6.09100e-01	-7.36800e-01	unspecified
113	1.35400e-01	1.34000e-02	8.50500e-02	1.21400e-01	1.59200e+00	unspecified
115	1.80700e-01	9.22200e-04	8.47800e-02	1.22600e-01	2.13200e+00	unspecified
118	6.81800e-02	2.14600e-01	6.37200e-02	2.46200e-01	1.07000e+00	unspecified
120	1.08100e-01	4.86300e-02	2.91700e-02	5.95800e-01	3.70700e+00	unspecified
124	4.57300e-02	4.05500e-01	2.88000e-02	6.00500e-01	1.58800e+00	unspecified
127	1.53900e-01	4.87800e-03	1.96700e-01	3.04300e-04	7.82400e-01	unspecified
