Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	8.18600e-01	1.08100e-81	8.12800e-01	1.16100e-79	1.00700e+00	unspecified
1	6.54300e-01	4.54400e-42	2.86000e-01	1.08900e-07	2.28800e+00	unspecified
2	2.92600e-01	5.36000e-08	2.70200e-01	5.59500e-07	1.08300e+00	unspecified
3	7.65900e-01	1.86000e-65	7.55700e-01	8.50700e-63	1.01400e+00	unspecified
4	6.26100e-01	1.21100e-37	6.17100e-01	2.50600e-36	1.01500e+00	unspecified
5	5.31300e-01	1.18100e-25	5.44900e-01	3.81900e-27	9.75100e-01	unspecified
10	1.25600e-01	2.19100e-02	9.96100e-02	6.94500e-02	1.26100e+00	unspecified
14	6.40900e-01	6.60300e-40	6.52100e-01	1.04800e-41	9.82800e-01	unspecified
15	4.88600e-01	2.19600e-21	4.52900e-01	3.00500e-18	1.07900e+00	unspecified
16	4.45200e-01	1.29700e-17	4.43400e-01	1.79700e-17	1.00400e+00	unspecified
17	1.22800e-01	2.49800e-02	1.30800e-01	1.69300e-02	9.39100e-01	unspecified
18	1.30800e-01	1.69300e-02	7.76600e-02	1.57400e-01	1.68400e+00	unspecified
23	7.07800e-01	6.64000e-52	7.02100e-01	9.66600e-51	1.00800e+00	unspecified
25	6.10600e-01	2.12000e-35	6.46200e-01	9.34600e-41	9.44800e-01	unspecified
26	5.20200e-02	3.44000e-01	-8.00600e-03	8.84300e-01	-6.49700e+00	unspecified
27	7.94700e-02	1.47900e-01	7.34700e-02	1.81100e-01	1.08200e+00	unspecified
30	1.20700e-01	2.76900e-02	9.41000e-02	8.64200e-02	1.28200e+00	unspecified
31	2.37000e-01	1.23500e-05	1.57200e-01	4.02300e-03	1.50700e+00	unspecified
34	1.29300e-01	1.82800e-02	2.66100e-01	8.39800e-07	4.85800e-01	unspecified
38	1.56700e-01	4.16100e-03	1.76100e-01	1.25500e-03	8.89800e-01	unspecified
39	1.52000e-01	5.44700e-03	2.05100e-01	1.63700e-04	7.41000e-01	unspecified
40	5.48000e-02	3.18800e-01	1.12600e-03	9.83700e-01	4.86800e+01	unspecified
41	7.23200e-02	1.88000e-01	1.41200e-01	9.87500e-03	5.12100e-01	unspecified
49	1.02400e-01	6.19700e-02	-5.24000e-02	3.40500e-01	-1.95400e+00	unspecified
54	2.34500e-01	1.53100e-05	1.81200e-01	8.93100e-04	1.29400e+00	unspecified
57	2.05500e-01	1.58600e-04	1.52200e-01	5.38000e-03	1.35000e+00	unspecified
61	1.33200e-01	1.49700e-02	9.48200e-02	8.40400e-02	1.40500e+00	unspecified
63	6.76900e-01	5.74200e-46	6.65200e-01	6.55700e-44	1.01800e+00	unspecified
64	6.17900e-01	1.90300e-36	4.52900e-01	3.00500e-18	1.36400e+00	unspecified
65	2.89800e-01	7.28000e-08	2.15700e-01	7.22300e-05	1.34300e+00	unspecified
67	5.83100e-01	1.00600e-31	-1.89400e-02	7.30600e-01	-3.08000e+01	unspecified
69	6.00500e-01	5.14400e-34	3.59400e-01	1.37700e-11	1.67100e+00	unspecified
71	6.28800e-01	4.75700e-38	4.50100e-01	5.13700e-18	1.39700e+00	unspecified
72	3.38000e-01	2.42800e-10	2.89800e-01	7.28000e-08	1.16600e+00	unspecified
74	-1.11100e-02	8.40000e-01	1.08800e-01	4.73500e-02	-1.02100e-01	unspecified
76	1.62600e-01	2.92700e-03	2.56400e-01	2.12300e-06	6.34000e-01	unspecified
77	5.66700e-01	1.11200e-29	3.41500e-01	1.53200e-10	1.65900e+00	unspecified
78	1.08000e-01	4.89000e-02	6.13000e-02	2.64600e-01	1.76200e+00	unspecified
79	2.22900e-01	4.07300e-05	1.38700e-01	1.12900e-02	1.60700e+00	unspecified
87	2.82000e-01	1.67100e-07	2.78900e-01	2.29800e-07	1.01100e+00	unspecified
88	1.84000e-01	7.43100e-04	9.72200e-02	7.64500e-02	1.89200e+00	unspecified
89	1.87200e-01	5.94800e-04	2.58900e-02	6.37900e-01	7.23200e+00	unspecified
90	2.13900e-01	8.34400e-05	1.95000e-01	3.45000e-04	1.09700e+00	unspecified
98	1.73800e-01	1.45100e-03	1.90300e-01	4.81400e-04	9.13600e-01	unspecified
99	1.95800e-01	3.25400e-04	9.87500e-02	7.19000e-02	1.98300e+00	unspecified
100	1.53500e-01	5.00500e-03	9.87500e-02	7.19000e-02	1.55400e+00	unspecified
108	4.89900e-02	3.72800e-01	3.61700e-02	5.10700e-01	1.35400e+00	unspecified
109	1.86300e-01	6.33000e-04	2.58900e-02	6.37900e-01	7.19700e+00	unspecified
110	1.13200e-01	3.89100e-02	-2.11800e-02	7.00200e-01	-5.34600e+00	unspecified
113	9.72200e-02	7.64500e-02	1.20600e-01	2.77100e-02	8.05800e-01	unspecified
115	2.66100e-01	8.39800e-07	1.55400e-01	4.48400e-03	1.71200e+00	unspecified
118	1.95000e-01	3.45000e-04	1.96900e-01	3.00300e-04	9.90200e-01	unspecified
120	-5.59300e-02	3.08900e-01	-2.79100e-02	6.11800e-01	2.00400e+00	unspecified
124	2.58900e-02	6.37900e-01	3.77600e-02	4.92300e-01	6.85600e-01	unspecified
127	1.76100e-01	1.25500e-03	8.63500e-02	1.15800e-01	2.03900e+00	unspecified
