Gene	Rho	P_val
ABCB1	-1.276e-01	1.985e-02
ABCC3	3.464e-04	9.950e-01
ABL1	1.462e-01	7.524e-03
ABL2	6.430e-02	2.419e-01
ACTA2	-1.541e-01	4.825e-03
ACVR1B	-1.630e-01	2.844e-03
ADGRA2	-1.292e-01	1.831e-02
AJUBA	-1.947e-01	3.519e-04
AKT1	-1.057e-01	5.389e-02
AKT2	-7.752e-02	1.581e-01
AKT3	8.158e-02	1.374e-01
ALK	1.049e-01	5.586e-02
ALOX12B	6.741e-02	2.199e-01
AMER1	-2.241e-01	3.671e-05
ANKRD11	-3.612e-02	5.113e-01
APC	-4.709e-02	3.917e-01
APOB	1.414e-01	9.777e-03
AR	1.995e-01	2.491e-04
ARAF	1.057e-01	5.402e-02
ARFRP1	-1.699e-01	1.866e-03
ARHGAP26	3.471e-02	5.279e-01
ARHGAP35	1.611e-02	7.695e-01
ARID1A	-7.857e-02	1.526e-01
ARID1B	-5.593e-02	3.089e-01
ARID2	-6.099e-02	2.671e-01
ARID5B	2.553e-02	6.426e-01
ASNS	1.277e-01	1.975e-02
ASXL1	9.059e-02	9.890e-02
ASXL2	-1.335e-01	1.475e-02
ATIC	-3.894e-03	9.436e-01
ATM	5.275e-04	9.923e-01
ATP7B	7.282e-02	1.850e-01
ATR	1.390e-01	1.112e-02
ATRX	-1.194e-01	2.939e-02
AURKA	-8.422e-02	1.251e-01
AURKB	-1.234e-01	2.435e-02
AXIN1	-1.386e-01	1.133e-02
AXIN2	-5.809e-02	2.906e-01
AXL	-9.725e-03	8.597e-01
B2M	3.592e-02	5.136e-01
BAP1	3.543e-02	5.194e-01
BARD1	1.486e-01	6.593e-03
BCAR1	-2.271e-02	6.797e-01
BCL10	-3.381e-02	5.387e-01
BCL11B	-1.905e-02	7.290e-01
BCL2	5.466e-02	3.200e-01
BCL2L1	-1.916e-01	4.391e-04
BCL2L11	7.328e-02	1.822e-01
BCL2L12	1.710e-01	1.735e-03
BCL2L2	-7.787e-02	1.563e-01
BCL6	8.497e-02	1.217e-01
BCL7A	5.118e-02	3.518e-01
BCLAF1	8.848e-02	1.070e-01
BCOR	-7.783e-02	1.564e-01
BCORL1	-1.139e-01	3.778e-02
BCR	-4.074e-03	9.410e-01
BIRC3	-3.020e-02	5.830e-01
BLM	7.661e-02	1.631e-01
BMPR1A	-2.868e-02	6.020e-01
BRAF	-3.968e-02	4.705e-01
BRCA1	6.487e-02	2.378e-01
BRCA2	-2.976e-02	5.885e-01
BRD4	-1.146e-01	3.667e-02
BRIP1	-1.464e-02	7.902e-01
BTG1	2.628e-02	6.328e-01
BTK	-9.393e-02	8.700e-02
BUB1B	-2.607e-01	1.409e-06
C11orf65	-1.439e-02	7.936e-01
C3orf70	-1.093e-01	4.635e-02
C8orf34	-8.722e-02	1.121e-01
CADM2	-7.881e-02	1.513e-01
CALR	1.531e-01	5.109e-03
CARD11	1.240e-01	2.358e-02
CASP8	1.100e-01	4.480e-02
CASR	1.130e-01	3.939e-02
