Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.79100e-01	4.28900e-69	7.80200e-01	2.06600e-69	9.98600e-01	unspecified
1	6.30200e-01	2.95600e-38	3.39200e-01	2.07000e-10	1.85800e+00	unspecified
2	2.94200e-01	4.48400e-08	3.16000e-01	3.71900e-09	9.31200e-01	unspecified
3	7.56900e-01	4.11300e-63	7.23000e-01	4.07400e-55	1.04700e+00	unspecified
4	6.45700e-01	1.14000e-40	6.19500e-01	1.10200e-36	1.04200e+00	unspecified
5	5.10600e-01	1.64400e-23	5.11400e-01	1.38300e-23	9.98500e-01	unspecified
10	1.39100e-01	1.10300e-02	1.66400e-01	2.31000e-03	8.35900e-01	unspecified
14	6.16200e-01	3.40300e-36	6.17900e-01	1.91900e-36	9.97200e-01	unspecified
15	4.70500e-01	9.51700e-20	4.46300e-01	1.04800e-17	1.05400e+00	unspecified
16	4.64500e-01	3.16300e-19	3.95500e-01	6.43400e-14	1.17400e+00	unspecified
17	1.37700e-01	1.19200e-02	1.62900e-01	2.86300e-03	8.44900e-01	unspecified
18	1.62900e-01	2.86300e-03	8.26400e-02	1.32400e-01	1.97200e+00	unspecified
23	6.95800e-01	1.64700e-49	7.04000e-01	3.97000e-51	9.88400e-01	unspecified
25	6.17000e-01	2.54000e-36	6.14000e-01	6.98200e-36	1.00500e+00	unspecified
26	5.41800e-02	3.24300e-01	4.22200e-02	4.42600e-01	1.28300e+00	unspecified
27	4.44400e-02	4.18900e-01	6.63900e-02	2.27000e-01	6.69400e-01	unspecified
30	2.35300e-01	1.43400e-05	4.70200e-02	3.92400e-01	5.00400e+00	unspecified
31	1.89400e-01	5.10100e-04	1.59400e-01	3.52900e-03	1.18800e+00	unspecified
34	9.61700e-02	7.97000e-02	2.34600e-01	1.52600e-05	4.10000e-01	unspecified
38	1.45400e-01	7.89300e-03	2.06100e-01	1.52100e-04	7.05200e-01	unspecified
39	1.41800e-01	9.54800e-03	1.10300e-01	4.42100e-02	1.28600e+00	unspecified
40	2.01200e-01	2.18600e-04	1.92400e-01	4.14900e-04	1.04600e+00	unspecified
41	5.72400e-02	2.97600e-01	-9.66200e-02	7.83000e-02	-5.92500e-01	unspecified
49	1.95200e-02	7.22700e-01	-7.92800e-02	1.48900e-01	-2.46200e-01	unspecified
54	2.25000e-01	3.41100e-05	5.08400e-02	3.55000e-01	4.42600e+00	unspecified
57	1.71100e-01	1.72700e-03	1.35700e-01	1.32100e-02	1.26100e+00	unspecified
61	-4.50300e-02	4.12800e-01	-5.44600e-02	3.21800e-01	8.26900e-01	unspecified
63	6.69900e-01	9.95200e-45	6.66300e-01	4.21700e-44	1.00500e+00	unspecified
64	6.34700e-01	6.11700e-39	4.46300e-01	1.04800e-17	1.42200e+00	unspecified
65	2.31300e-01	2.02300e-05	2.08900e-01	1.23300e-04	1.10700e+00	unspecified
67	6.09600e-01	2.88900e-35	-1.92900e-02	7.25800e-01	-3.16100e+01	unspecified
69	5.83900e-01	8.06200e-32	2.78200e-01	2.46900e-07	2.09900e+00	unspecified
71	6.74400e-01	1.62600e-45	4.19300e-01	1.30400e-15	1.60800e+00	unspecified
72	3.19600e-01	2.40400e-09	2.31300e-01	2.02300e-05	1.38200e+00	unspecified
74	5.47000e-02	3.19700e-01	9.29700e-02	9.03000e-02	5.88400e-01	unspecified
76	1.76200e-01	1.24500e-03	2.58500e-01	1.74800e-06	6.81700e-01	unspecified
77	5.05800e-01	4.92000e-23	3.07400e-01	1.02000e-08	1.64600e+00	unspecified
78	2.96400e-02	5.90000e-01	4.30800e-02	4.33400e-01	6.88000e-01	unspecified
79	2.21300e-01	4.63400e-05	2.12800e-01	9.10600e-05	1.04000e+00	unspecified
87	2.57900e-01	1.83900e-06	2.57300e-01	1.94600e-06	1.00200e+00	unspecified
88	1.14600e-01	3.66500e-02	1.03200e-01	6.00600e-02	1.11100e+00	unspecified
89	2.90300e-01	6.88100e-08	1.24000e-01	2.36000e-02	2.34100e+00	unspecified
90	1.56600e-01	4.18700e-03	1.15700e-01	3.47400e-02	1.35300e+00	unspecified
98	1.43700e-01	8.66000e-03	2.56900e-01	2.03100e-06	5.59200e-01	unspecified
99	2.24100e-01	3.67400e-05	7.45700e-02	1.74600e-01	3.00500e+00	unspecified
100	2.13400e-01	8.71000e-05	7.45700e-02	1.74600e-01	2.86100e+00	unspecified
108	-4.92100e-03	9.28700e-01	-3.75500e-03	9.45600e-01	1.31100e+00	unspecified
109	1.66700e-01	2.27400e-03	1.24000e-01	2.36000e-02	1.34400e+00	unspecified
110	4.50600e-02	4.12500e-01	2.02600e-02	7.12600e-01	2.22400e+00	unspecified
113	1.03200e-01	6.00600e-02	1.24800e-01	2.27300e-02	8.26500e-01	unspecified
115	2.34600e-01	1.52600e-05	1.85700e-01	6.60400e-04	1.26300e+00	unspecified
118	1.15700e-01	3.47400e-02	1.02400e-01	6.19400e-02	1.13000e+00	unspecified
120	8.64200e-02	1.15500e-01	-1.04300e-01	5.72200e-02	-8.28400e-01	unspecified
124	1.24000e-01	2.36000e-02	1.20300e-01	2.82100e-02	1.03100e+00	unspecified
127	2.06100e-01	1.52100e-04	1.84000e-01	7.40600e-04	1.12000e+00	unspecified
