Gene	Rho	P_val
ABCB1	-6.703e-02	2.225e-01
ABCC3	2.011e-02	7.146e-01
ABL1	1.056e-01	5.419e-02
ABL2	8.500e-02	1.216e-01
ACTA2	-1.353e-01	1.345e-02
ACVR1B	-9.164e-02	9.502e-02
ADGRA2	-1.011e-01	6.543e-02
AJUBA	-8.673e-02	1.142e-01
AKT1	-1.289e-01	1.860e-02
AKT2	1.409e-02	7.978e-01
AKT3	7.187e-02	1.908e-01
ALK	-1.734e-02	7.525e-01
ALOX12B	4.425e-02	4.209e-01
AMER1	-1.378e-01	1.185e-02
ANKRD11	-3.924e-03	9.431e-01
APC	4.133e-02	4.523e-01
APOB	1.645e-01	2.603e-03
AR	2.482e-01	4.543e-06
ARAF	1.400e-01	1.055e-02
ARFRP1	-2.392e-01	1.024e-05
ARHGAP26	7.021e-02	2.013e-01
ARHGAP35	-7.848e-02	1.530e-01
ARID1A	1.725e-02	7.538e-01
ARID1B	3.444e-02	5.311e-01
ARID2	-9.386e-02	8.723e-02
ARID5B	7.621e-02	1.653e-01
ASNS	5.070e-02	3.564e-01
ASXL1	1.493e-01	6.356e-03
ASXL2	-1.300e-02	8.132e-01
ATIC	-9.521e-02	8.278e-02
ATM	-1.217e-02	8.249e-01
ATP7B	4.093e-02	4.566e-01
ATR	2.430e-01	7.261e-06
ATRX	-1.679e-01	2.116e-03
AURKA	-2.526e-01	3.026e-06
AURKB	7.656e-03	8.893e-01
AXIN1	4.861e-03	9.296e-01
AXIN2	-1.371e-01	1.227e-02
AXL	-1.479e-02	7.880e-01
B2M	1.021e-01	6.284e-02
BAP1	-4.138e-03	9.400e-01
BARD1	1.178e-01	3.166e-02
BCAR1	1.398e-02	7.994e-01
BCL10	-9.564e-02	8.140e-02
BCL11B	-7.879e-03	8.861e-01
BCL2	1.477e-01	6.923e-03
BCL2L1	-2.283e-01	2.598e-05
BCL2L11	1.120e-01	4.106e-02
BCL2L12	9.577e-02	8.096e-02
BCL2L2	-8.676e-02	1.141e-01
BCL6	4.241e-02	4.405e-01
BCL7A	9.726e-02	7.635e-02
BCLAF1	3.486e-02	5.261e-01
BCOR	-2.330e-02	6.718e-01
BCORL1	5.044e-02	3.588e-01
BCR	-2.637e-02	6.315e-01
BIRC3	-1.303e-01	1.735e-02
BLM	6.355e-02	2.475e-01
BMPR1A	-1.847e-01	7.070e-04
BRAF	1.642e-03	9.762e-01
BRCA1	1.476e-01	6.957e-03
BRCA2	-6.652e-02	2.260e-01
BRD4	-7.115e-02	1.953e-01
BRIP1	-1.016e-01	6.410e-02
BTG1	-1.819e-02	7.408e-01
BTK	-4.789e-02	3.837e-01
BUB1B	-2.318e-01	1.938e-05
C11orf65	-1.698e-02	7.575e-01
C3orf70	-9.244e-02	9.216e-02
C8orf34	7.160e-03	8.964e-01
CADM2	-1.429e-01	9.034e-03
CALR	1.623e-01	2.979e-03
CARD11	1.646e-01	2.586e-03
CASP8	2.039e-01	1.791e-04
CASR	1.397e-01	1.072e-02
CBFB	4.252e-02	4.394e-01
CBL	-1.086e-01	4.763e-02
CBLB	1.126e-02	8.377e-01
CBLC	1.357e-01	1.322e-02
CBR3	3.561e-02	5.173e-01
CCDC6	-5.865e-02	2.859e-01
CCND1	-2.862e-02	6.028e-01
CCND2	-1.648e-01	2.548e-03
CCND3	-2.725e-01	4.405e-07
CCNE1	-1.803e-01	9.518e-04
CCNE2	-5.549e-02	3.127e-01
CD19	1.769e-01	1.188e-03
CD22	-4.659e-02	3.967e-01
CD274	-6.631e-02	2.275e-01
CD276	-7.365e-03	8.935e-01
CD40	1.963e-01	3.139e-04
CD70	1.472e-01	7.142e-03
CD79A	-6.946e-02	2.061e-01
CD79B	8.426e-02	1.249e-01
CDC25A	1.207e-01	2.766e-02
CDC73	1.636e-01	2.748e-03
CDH1	-1.318e-01	1.607e-02
CDH2	-8.853e-02	1.068e-01
CDK12	-9.825e-03	8.582e-01
CDK4	-4.771e-02	3.855e-01
CDK5	-3.023e-02	5.825e-01
CDK6	3.121e-02	5.704e-01
CDK8	1.184e-01	3.071e-02
CDKN1A	1.515e-02	7.829e-01
CDKN1B	-1.337e-01	1.463e-02
CDKN1C	-1.580e-01	3.836e-03
CDKN2A	-2.595e-01	1.583e-06
CDKN2B	2.317e-01	1.958e-05
CDKN2C	1.102e-01	4.441e-02
CEBPA	1.894e-03	9.725e-01
CEP57	-9.993e-02	6.856e-02
CFTR	-1.403e-01	1.039e-02
CHD2	-4.641e-02	3.986e-01
CHD4	1.700e-01	1.849e-03
CHEK1	1.169e-01	3.301e-02
CHEK2	-3.950e-02	4.726e-01
CIC	1.307e-02	8.121e-01
CIITA	-1.879e-02	7.326e-01
CKS1B	1.479e-01	6.856e-03
CREBBP	-7.254e-02	1.867e-01
CRKL	-6.687e-02	2.236e-01
CRLF2	1.766e-01	1.211e-03
CSF1R	-6.131e-02	2.646e-01
CSF3R	-8.628e-02	1.161e-01
CTC1	1.152e-01	3.554e-02
CTCF	1.365e-02	8.040e-01
CTLA4	-1.572e-01	4.041e-03
CTNNA1	-1.766e-01	1.212e-03
CTNNB1	-7.307e-02	1.835e-01
CTRC	-1.911e-01	4.543e-04
CUL3	-1.518e-01	5.502e-03
CUX1	-3.822e-02	4.870e-01
CXCR4	2.010e-02	7.147e-01
CYLD	1.691e-01	1.953e-03
CYP1B1	5.178e-02	3.462e-01
CYP2D6	-5.284e-04	9.923e-01
CYP3A5	-2.789e-02	6.120e-01
DAXX	-5.841e-02	2.879e-01
DDB2	-1.402e-01	1.043e-02
DDR2	-1.209e-01	2.734e-02
DDX3X	4.790e-02	3.836e-01
DICER1	1.872e-01	5.940e-04
DIS3	-2.332e-01	1.714e-05
DIS3L2	-9.955e-02	6.964e-02
DKC1	-8.325e-02	1.295e-01
DMD	-1.018e-01	6.352e-02
DNM2	6.487e-02	2.378e-01
DNMT1	-1.966e-01	3.076e-04
DNMT3A	-1.342e-01	1.424e-02
DNMT3B	-2.034e-01	1.868e-04
DOT1L	-9.100e-02	9.734e-02
DPYD	-2.341e-02	6.704e-01
DYNC2H1	3.203e-02	5.603e-01
E2F1	1.955e-01	3.311e-04
E2F2	8.991e-02	1.014e-01
E2F3	5.046e-02	3.587e-01
E2F4	3.774e-02	4.925e-01
E2F5	4.117e-02	4.540e-01
E2F6	-7.628e-02	1.649e-01
EBF1	4.887e-02	3.740e-01
ECT2L	-2.332e-02	6.715e-01
EED	-6.790e-02	2.165e-01
EGF	-3.497e-02	5.248e-01
EGFL7	-8.063e-02	1.421e-01
EGFR	-1.240e-01	2.364e-02
EGLN1	-9.031e-02	9.993e-02
ELF3	-1.506e-01	5.885e-03
ELOC	-5.635e-03	9.184e-01
EMSY	9.655e-02	7.851e-02
ENG	-6.647e-02	2.264e-01
EP300	1.264e-02	8.182e-01
EPCAM	2.325e-01	1.829e-05
EPHA2	-1.369e-01	1.242e-02
EPHA3	9.278e-02	9.096e-02
EPHA5	1.832e-01	7.830e-04
EPHA7	-7.398e-02	1.780e-01
EPHB1	1.389e-01	1.117e-02
EPHB2	1.770e-01	1.181e-03
EPOR	-5.962e-02	2.780e-01
ERBB2	-5.377e-02	3.279e-01
ERBB3	5.181e-03	9.250e-01
ERBB4	-2.850e-02	6.043e-01
ERCC1	1.005e-01	6.703e-02
ERCC2	-3.693e-03	9.465e-01
ERCC3	7.714e-04	9.888e-01
ERCC4	7.408e-02	1.774e-01
ERCC5	1.125e-01	4.022e-02
ERCC6	3.261e-02	5.531e-01
ERG	-1.441e-01	8.434e-03
ERRFI1	-1.345e-01	1.405e-02
ESR1	-8.393e-02	1.264e-01
ESR2	-1.304e-01	1.726e-02
ETS1	-7.539e-02	1.699e-01
ETS2	5.503e-02	3.167e-01
ETV1	9.329e-02	8.918e-02
ETV4	1.625e-01	2.945e-03
ETV5	-5.453e-02	3.212e-01
ETV6	-1.330e-01	1.514e-02
EWSR1	-1.934e-01	3.857e-04
EXT2	-1.012e-02	8.540e-01
EZH2	3.812e-02	4.881e-01
FAM46C	-4.345e-02	4.294e-01
FANCA	-2.506e-02	6.486e-01
FANCB	4.268e-02	4.375e-01
FANCC	1.345e-01	1.401e-02
FANCD2	-4.479e-03	9.351e-01
FANCE	-3.334e-02	5.444e-01
FANCF	-6.599e-02	2.297e-01
FANCG	-3.147e-02	5.672e-01
FANCI	2.956e-03	9.571e-01
FANCL	-1.170e-01	3.281e-02
FANCM	9.359e-02	8.817e-02
FAS	-5.853e-02	2.869e-01
FAT1	-3.801e-02	4.894e-01
FBXO11	6.169e-02	2.617e-01
FBXW7	-4.514e-02	4.116e-01
FCGR2A	1.100e-01	4.490e-02
FCGR3A	-1.201e-01	2.840e-02
FDPS	5.923e-02	2.811e-01
FGF1	1.640e-01	2.679e-03
FGF10	2.352e-01	1.442e-05
FGF14	2.252e-01	3.365e-05
FGF19	-3.586e-02	5.143e-01
FGF2	-8.882e-02	1.057e-01
FGF23	-1.691e-01	1.962e-03
FGF3	2.723e-02	6.205e-01
FGF4	2.736e-02	6.188e-01
FGF5	-2.471e-02	6.533e-01
FGF6	-1.792e-01	1.024e-03
FGF7	2.512e-02	6.478e-01
FGF8	1.549e-02	7.783e-01
FGF9	2.772e-02	6.142e-01
FGFR1	-9.490e-04	9.862e-01
FGFR2	2.400e-03	9.652e-01
FGFR3	-4.346e-02	4.293e-01
FGFR4	-1.244e-02	8.210e-01
FH	-8.693e-02	1.133e-01
FHIT	-1.820e-01	8.456e-04
FLCN	3.010e-03	9.564e-01
FLG	-2.342e-01	1.579e-05
FLT1	1.206e-01	2.772e-02
FLT3	2.283e-02	6.781e-01
FLT4	-7.136e-02	1.940e-01
FNTB	-9.731e-02	7.619e-02
FOXA1	1.595e-01	3.517e-03
FOXL2	-1.476e-01	6.960e-03
FOXO1	7.891e-02	1.508e-01
FOXO3	8.700e-02	1.130e-01
FOXP1	-1.219e-03	9.823e-01
FOXQ1	2.562e-02	6.414e-01
FRS2	3.113e-02	5.714e-01
FUBP1	1.426e-01	9.178e-03
FUS	-1.694e-01	1.923e-03
FYN	-4.685e-03	9.321e-01
G6PD	-2.120e-02	6.999e-01
GABRA6	-4.424e-02	4.210e-01
GALNT12	-7.515e-03	8.913e-01
GATA1	-7.915e-02	1.495e-01
GATA2	4.186e-03	9.393e-01
GATA3	-1.103e-01	4.422e-02
GATA4	8.822e-02	1.081e-01
GATA6	1.189e-01	3.009e-02
GEN1	1.586e-01	3.710e-03
GID4	4.708e-02	3.918e-01
GLI1	-6.503e-02	2.366e-01
GLI2	-2.896e-02	5.985e-01
GLI3	-6.595e-02	2.301e-01
GNA11	1.926e-01	4.091e-04
GNA13	1.854e-01	6.735e-04
GNAQ	-9.983e-02	6.884e-02
GNAS	-1.843e-01	7.253e-04
GPC3	-7.874e-02	1.517e-01
GPER1	1.786e-01	1.061e-03
GPS2	-4.758e-02	3.867e-01
GREM1	3.078e-02	5.757e-01
GRIN2A	9.545e-02	8.199e-02
GRM3	-8.765e-02	1.104e-01
GSK3B	-1.244e-01	2.314e-02
GSTP1	5.055e-03	9.268e-01
H3F3A	-1.807e-02	7.424e-01
H3F3C	1.981e-02	7.187e-01
HAS3	7.924e-02	1.490e-01
HAVCR2	-8.212e-02	1.348e-01
HDAC1	-3.141e-02	5.678e-01
HDAC2	1.124e-01	4.039e-02
HDAC3	-1.191e-01	2.982e-02
HDAC4	-1.427e-02	7.954e-01
HDAC5	-9.341e-03	8.652e-01
HGF	4.314e-02	4.326e-01
HIF1A	8.936e-02	1.036e-01
HIST1H1C	6.643e-02	2.267e-01
HIST1H1E	-1.094e-01	4.615e-02
HIST1H2BD	4.244e-02	4.402e-01
HIST1H3F	-4.789e-02	3.837e-01
HIST1H4E	-2.561e-03	9.629e-01
HIST3H3	-6.834e-02	2.135e-01
HLA-A	2.458e-03	9.644e-01
HLA-B	-8.232e-02	1.338e-01
HLA-C	2.939e-02	5.930e-01
HLA-DMA	-5.659e-02	3.032e-01
HLA-DMB	8.116e-02	1.394e-01
HLA-DOA	1.298e-01	1.781e-02
HLA-DOB	-1.298e-01	1.781e-02
HLA-DPA1	2.882e-02	6.002e-01
HLA-DPB1	9.763e-03	8.591e-01
HLA-DQA1	4.319e-02	4.322e-01
HLA-DQA2	1.303e-01	1.734e-02
HLA-DQB1	-6.344e-02	2.483e-01
HLA-DQB2	9.352e-02	8.838e-02
HLA-DRA	1.420e-01	9.486e-03
HLA-DRB1	-9.011e-02	1.007e-01
HLA-DRB5	-8.424e-02	1.250e-01
HLA-E	-3.425e-02	5.334e-01
HLA-F	-4.110e-02	4.548e-01
HLA-G	2.017e-03	9.708e-01
HNF1A	2.962e-02	5.902e-01
HNF1B	1.869e-02	7.340e-01
HOXB13	-9.956e-02	6.959e-02
HRAS	1.176e-01	3.198e-02
HSD3B1	-1.124e-01	4.046e-02
HSP90AA1	-5.624e-02	3.062e-01
HSPH1	3.070e-02	5.767e-01
IDH1	2.451e-02	6.558e-01
IDH2	1.842e-02	7.378e-01
IDO1	1.460e-01	7.599e-03
IFIT1	1.120e-01	4.116e-02
IFIT2	-6.818e-02	2.146e-01
IFIT3	-1.212e-02	8.256e-01
IFNAR1	9.966e-03	8.562e-01
IFNAR2	-1.080e-01	4.904e-02
IFNGR1	-8.554e-02	1.193e-01
IFNGR2	2.780e-02	6.132e-01
IFNL3	-1.556e-01	4.436e-03
IGF1	-8.458e-02	1.235e-01
IGF1R	-4.463e-02	4.169e-01
IGF2	-5.693e-02	3.003e-01
IKBKE	1.300e-01	1.765e-02
IKZF1	2.357e-01	1.381e-05
IKZF3	-4.227e-02	4.420e-01
IL10RA	-5.615e-03	9.187e-01
IL15	nan	nan
IL2RA	1.703e-02	7.569e-01
IL6R	-1.777e-01	1.129e-03
IL7R	1.623e-01	2.978e-03
ING1	2.324e-01	1.838e-05
INHBA	-1.796e-01	9.985e-04
INPP4A	-1.015e-02	8.537e-01
INPP4B	1.828e-01	8.038e-04
INPPL1	6.385e-02	2.453e-01
INSR	9.688e-03	8.602e-01
IRF1	2.245e-02	6.832e-01
IRF2	-9.671e-02	7.803e-02
IRF4	-1.046e-02	8.492e-01
IRS1	-1.567e-01	4.157e-03
IRS2	2.659e-01	8.508e-07
ITPKB	-1.858e-02	7.356e-01
JAK1	-1.764e-01	1.229e-03
JAK2	-7.840e-02	1.534e-01
JAK3	-1.721e-01	1.615e-03
JUN	1.842e-01	7.289e-04
KAT6A	7.010e-02	2.020e-01
KDM5A	1.275e-01	1.990e-02
KDM5C	-3.967e-02	4.706e-01
KDM6A	1.243e-02	8.213e-01
KDM6B	-9.467e-03	8.633e-01
