Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.59700e-01	8.08300e-64	7.86300e-01	3.32500e-71	9.66100e-01	unspecified
1	5.48000e-01	1.71900e-27	3.32600e-01	4.83400e-10	1.64800e+00	unspecified
2	3.30600e-01	6.17700e-10	2.97000e-01	3.32100e-08	1.11300e+00	unspecified
3	7.60000e-01	6.43800e-64	7.37700e-01	1.99500e-58	1.03000e+00	unspecified
4	6.17300e-01	2.36400e-36	6.13600e-01	7.75400e-36	1.00600e+00	unspecified
5	5.68500e-01	6.64400e-30	5.58200e-01	1.15100e-28	1.01900e+00	unspecified
10	4.90400e-02	3.72300e-01	6.84200e-02	2.13000e-01	7.16800e-01	unspecified
14	6.12700e-01	1.05900e-35	5.98400e-01	1.00600e-33	1.02400e+00	unspecified
15	4.84100e-01	5.77600e-21	4.37600e-01	5.23900e-17	1.10600e+00	unspecified
16	4.17300e-01	1.83600e-15	4.03500e-01	1.81100e-14	1.03400e+00	unspecified
17	2.02200e-01	2.03900e-04	2.22300e-01	4.27600e-05	9.09700e-01	unspecified
18	2.22300e-01	4.27600e-05	3.02500e-02	5.82300e-01	7.34800e+00	unspecified
23	7.30200e-01	1.05600e-56	7.36300e-01	4.12000e-58	9.91600e-01	unspecified
25	6.04800e-01	1.35900e-34	6.20100e-01	9.23500e-37	9.75300e-01	unspecified
26	8.30300e-02	1.30500e-01	-1.49200e-02	7.86100e-01	-5.56400e+00	unspecified
27	9.97100e-02	6.91900e-02	9.26700e-02	9.13500e-02	1.07600e+00	unspecified
30	1.56000e-01	4.33200e-03	1.19900e-01	2.87600e-02	1.30100e+00	unspecified
31	2.48700e-01	4.36700e-06	1.81600e-01	8.72900e-04	1.37000e+00	unspecified
34	2.37400e-01	1.19200e-05	3.37400e-01	2.61200e-10	7.03700e-01	unspecified
38	1.20800e-01	2.75200e-02	9.37000e-02	8.77800e-02	1.28900e+00	unspecified
39	1.58800e-01	3.65900e-03	2.01800e-01	2.09100e-04	7.86900e-01	unspecified
40	1.26600e-01	2.08200e-02	2.61800e-02	6.34000e-01	4.83600e+00	unspecified
41	4.67700e-02	3.94900e-01	1.30600e-01	1.71200e-02	3.58200e-01	unspecified
49	-1.19300e-01	2.95000e-02	-6.10200e-02	2.66800e-01	1.95500e+00	unspecified
54	2.16400e-01	6.84400e-05	1.26500e-01	2.09800e-02	1.71100e+00	unspecified
57	1.74000e-01	1.43500e-03	1.43500e-01	8.74700e-03	1.21300e+00	unspecified
61	6.86100e-02	2.11700e-01	2.63300e-02	6.32100e-01	2.60600e+00	unspecified
63	6.75000e-01	1.24700e-45	6.60300e-01	4.54700e-43	1.02200e+00	unspecified
64	5.79300e-01	3.05700e-31	4.37600e-01	5.23900e-17	1.32400e+00	unspecified
65	3.65900e-01	5.46800e-12	2.82600e-01	1.56700e-07	1.29500e+00	unspecified
67	5.87100e-01	3.13000e-32	-7.42400e-02	1.76500e-01	-7.90800e+00	unspecified
69	6.37000e-01	2.63100e-39	4.24500e-01	5.31800e-16	1.50100e+00	unspecified
71	6.40100e-01	8.88500e-40	4.53100e-01	2.90200e-18	1.41300e+00	unspecified
72	3.86800e-01	2.50200e-13	3.65900e-01	5.46800e-12	1.05700e+00	unspecified
74	1.26800e-01	2.06400e-02	8.62000e-02	1.16400e-01	1.47100e+00	unspecified
76	1.96300e-01	3.13400e-04	3.01600e-01	1.96500e-08	6.50800e-01	unspecified
77	5.31500e-01	1.13600e-25	3.41900e-01	1.46500e-10	1.55500e+00	unspecified
78	1.38400e-01	1.14400e-02	1.05600e-01	5.41400e-02	1.31100e+00	unspecified
79	1.66400e-01	2.31900e-03	8.25300e-02	1.32800e-01	2.01600e+00	unspecified
87	3.05100e-01	1.33100e-08	1.87000e-01	6.03200e-04	1.63100e+00	unspecified
88	-1.77900e-01	1.11300e-03	1.72400e-01	1.58800e-03	-1.03200e+00	unspecified
89	2.39300e-01	1.01200e-05	4.09000e-02	4.57000e-01	5.85100e+00	unspecified
90	2.10400e-01	1.09700e-04	1.52100e-01	5.41800e-03	1.38300e+00	unspecified
98	1.23700e-01	2.39400e-02	2.22300e-01	4.26900e-05	5.56600e-01	unspecified
99	2.10200e-01	1.11400e-04	9.72400e-02	7.64000e-02	2.16200e+00	unspecified
100	1.61800e-01	3.05900e-03	9.72400e-02	7.64000e-02	1.66400e+00	unspecified
108	7.60900e-02	1.65900e-01	4.75400e-02	3.87200e-01	1.60100e+00	unspecified
109	1.39000e-01	1.11400e-02	4.09000e-02	4.57000e-01	3.39800e+00	unspecified
110	2.25200e-02	6.82200e-01	7.49900e-03	8.91600e-01	3.00300e+00	unspecified
113	1.72400e-01	1.58800e-03	1.88700e-01	5.37900e-04	9.13800e-01	unspecified
115	3.37400e-01	2.61200e-10	2.07200e-01	1.40400e-04	1.62900e+00	unspecified
118	1.52100e-01	5.41800e-03	1.50700e-01	5.86300e-03	1.00900e+00	unspecified
120	-7.03400e-02	2.00400e-01	-4.88000e-02	3.74700e-01	1.44100e+00	unspecified
124	4.09000e-02	4.57000e-01	3.15800e-02	5.65700e-01	1.29500e+00	unspecified
127	9.37000e-02	8.77800e-02	2.83000e-01	1.49800e-07	3.31100e-01	unspecified
