Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	8.12700e-01	1.24400e-79	8.10400e-01	7.75300e-79	1.00300e+00	unspecified
1	5.73200e-01	1.77800e-30	3.84300e-01	3.64700e-13	1.49100e+00	unspecified
2	3.28400e-01	8.14200e-10	3.06200e-01	1.16800e-08	1.07300e+00	unspecified
3	7.66600e-01	1.20400e-65	7.61600e-01	2.50000e-64	1.00700e+00	unspecified
4	6.08400e-01	4.22300e-35	6.10100e-01	2.47900e-35	9.97300e-01	unspecified
5	5.71000e-01	3.36800e-30	5.74200e-01	1.35200e-30	9.94400e-01	unspecified
10	2.82500e-02	6.07500e-01	9.10400e-02	9.72000e-02	3.10300e-01	unspecified
14	6.03600e-01	1.94600e-34	6.08800e-01	3.73900e-35	9.91500e-01	unspecified
15	4.88300e-01	2.36100e-21	4.72300e-01	6.60200e-20	1.03400e+00	unspecified
16	4.22400e-01	7.69900e-16	4.11000e-01	5.26900e-15	1.02800e+00	unspecified
17	2.03000e-01	1.91500e-04	2.16300e-01	6.92100e-05	9.38800e-01	unspecified
18	2.16300e-01	6.92100e-05	6.05800e-02	2.70300e-01	3.57000e+00	unspecified
23	7.33700e-01	1.67300e-57	7.30300e-01	9.91400e-57	1.00500e+00	unspecified
25	6.15400e-01	4.31100e-36	6.55100e-01	3.31300e-42	9.39400e-01	unspecified
26	-3.22800e-04	9.95300e-01	7.80100e-02	1.55500e-01	-4.13800e-03	unspecified
27	1.29600e-02	8.13700e-01	7.27800e-02	1.85200e-01	1.78100e-01	unspecified
30	7.73200e-02	1.59200e-01	8.79700e-02	1.09100e-01	8.79000e-01	unspecified
31	2.54600e-01	2.52800e-06	2.01800e-01	2.09200e-04	1.26100e+00	unspecified
34	1.39600e-01	1.07700e-02	2.41000e-01	8.70600e-06	5.79200e-01	unspecified
38	1.52300e-01	5.35400e-03	1.68500e-01	2.03000e-03	9.03700e-01	unspecified
39	2.16300e-01	6.88500e-05	2.29900e-01	2.27700e-05	9.41100e-01	unspecified
40	1.71600e-01	1.67100e-03	9.06800e-02	9.85500e-02	1.89300e+00	unspecified
41	6.27600e-02	2.53400e-01	1.12300e-01	4.05400e-02	5.58800e-01	unspecified
49	6.09300e-02	2.67500e-01	-6.39000e-02	2.44900e-01	-9.53600e-01	unspecified
54	2.25200e-01	3.37500e-05	2.00800e-01	2.25700e-04	1.12100e+00	unspecified
57	2.56700e-01	2.07500e-06	1.80500e-01	9.38500e-04	1.42200e+00	unspecified
61	1.99600e-01	2.47600e-04	1.28600e-01	1.88600e-02	1.55100e+00	unspecified
63	6.92100e-01	8.51000e-49	6.75100e-01	1.23400e-45	1.02500e+00	unspecified
64	6.14800e-01	5.25900e-36	4.72300e-01	6.60200e-20	1.30200e+00	unspecified
65	3.51900e-01	3.84900e-11	2.44500e-01	6.35500e-06	1.43900e+00	unspecified
67	5.92100e-01	6.91400e-33	7.03700e-03	8.98200e-01	8.41400e+01	unspecified
69	6.37700e-01	2.10500e-39	3.86000e-01	2.83400e-13	1.65200e+00	unspecified
71	6.74100e-01	1.80800e-45	4.78600e-01	1.83600e-20	1.40900e+00	unspecified
72	3.82100e-01	5.13500e-13	3.51900e-01	3.84900e-11	1.08600e+00	unspecified
74	1.01500e-01	6.44400e-02	1.78500e-01	1.06800e-03	5.68200e-01	unspecified
76	1.03500e-01	5.92900e-02	2.32500e-01	1.82700e-05	4.45100e-01	unspecified
77	6.08400e-01	4.29700e-35	3.77800e-01	9.69400e-13	1.61000e+00	unspecified
78	2.53900e-01	2.68100e-06	1.82800e-01	8.04700e-04	1.38900e+00	unspecified
79	2.18000e-01	6.02100e-05	1.43200e-01	8.85600e-03	1.52200e+00	unspecified
87	2.99300e-01	2.55400e-08	2.89500e-01	7.46700e-08	1.03400e+00	unspecified
88	1.88000e-01	5.62500e-04	1.58700e-01	3.69200e-03	1.18500e+00	unspecified
89	2.63300e-01	1.10000e-06	8.28600e-02	1.31300e-01	3.17800e+00	unspecified
90	2.12300e-01	9.43800e-05	1.53500e-01	4.98900e-03	1.38300e+00	unspecified
98	-1.17900e-03	9.82900e-01	1.70000e-01	1.84500e-03	-6.93400e-03	unspecified
99	1.46400e-01	7.44100e-03	1.10800e-01	4.32400e-02	1.32100e+00	unspecified
100	1.89700e-01	4.99200e-04	1.10800e-01	4.32400e-02	1.71200e+00	unspecified
108	7.95300e-02	1.47600e-01	5.57800e-02	3.10100e-01	1.42600e+00	unspecified
109	2.47400e-01	4.88400e-06	8.28600e-02	1.31300e-01	2.98600e+00	unspecified
110	6.45200e-03	9.06600e-01	1.90300e-02	7.29300e-01	3.39000e-01	unspecified
113	1.58700e-01	3.69200e-03	8.18600e-02	1.36100e-01	1.93900e+00	unspecified
115	2.41000e-01	8.70600e-06	8.63600e-02	1.15700e-01	2.79100e+00	unspecified
118	1.53500e-01	4.98900e-03	1.63400e-01	2.77900e-03	9.39400e-01	unspecified
120	1.10000e-01	4.48100e-02	-9.29400e-03	8.65800e-01	-1.18400e+01	unspecified
124	8.28600e-02	1.31300e-01	7.15000e-02	1.93100e-01	1.15900e+00	unspecified
127	1.68500e-01	2.03000e-03	1.67700e-01	2.13300e-03	1.00500e+00	unspecified
