Gene	Rho	P_val
ABCB1	-1.399e-01	1.057e-02
ABCC3	6.793e-02	2.163e-01
ABL1	2.407e-02	6.617e-01
ABL2	1.061e-01	5.311e-02
ACTA2	3.403e-03	9.507e-01
ACVR1B	-3.955e-03	9.427e-01
ADGRA2	-7.258e-02	1.864e-01
AJUBA	-5.901e-02	2.830e-01
AKT1	-8.391e-02	1.265e-01
AKT2	-9.470e-02	8.444e-02
AKT3	1.134e-01	3.865e-02
ALK	-5.922e-04	9.914e-01
ALOX12B	9.025e-02	1.002e-01
AMER1	-9.639e-02	7.902e-02
ANKRD11	-3.551e-02	5.184e-01
APC	1.878e-02	7.327e-01
APOB	1.251e-01	2.245e-02
AR	1.910e-01	4.580e-04
ARAF	7.915e-02	1.495e-01
ARFRP1	-1.043e-01	5.735e-02
ARHGAP26	-1.074e-02	8.452e-01
ARHGAP35	-2.413e-02	6.608e-01
ARID1A	3.186e-02	5.624e-01
ARID1B	-3.679e-03	9.467e-01
ARID2	-7.681e-02	1.620e-01
ARID5B	4.938e-02	3.690e-01
ASNS	1.636e-01	2.742e-03
ASXL1	5.343e-02	3.310e-01
ASXL2	-7.130e-02	1.943e-01
ATIC	-9.433e-02	8.566e-02
ATM	1.150e-02	8.344e-01
ATP7B	-4.848e-02	3.779e-01
ATR	1.841e-01	7.336e-04
ATRX	-2.212e-01	4.662e-05
AURKA	-1.886e-01	5.403e-04
AURKB	4.944e-03	9.284e-01
AXIN1	3.738e-02	4.967e-01
AXIN2	-1.467e-01	7.316e-03
AXL	-5.307e-02	3.343e-01
B2M	1.445e-01	8.254e-03
BAP1	-2.304e-02	6.752e-01
BARD1	1.049e-01	5.581e-02
BCAR1	-9.177e-03	8.675e-01
BCL10	-5.238e-02	3.406e-01
BCL11B	5.833e-02	2.885e-01
BCL2	1.867e-01	6.171e-04
BCL2L1	-1.784e-01	1.075e-03
BCL2L11	6.902e-02	2.090e-01
BCL2L12	1.397e-01	1.072e-02
BCL2L2	-2.787e-02	6.123e-01
BCL6	4.260e-02	4.384e-01
BCL7A	9.556e-02	8.166e-02
BCLAF1	1.409e-02	7.978e-01
BCOR	-1.246e-02	8.209e-01
BCORL1	2.962e-02	5.902e-01
BCR	-5.266e-02	3.380e-01
BIRC3	-2.657e-02	6.290e-01
BLM	-8.064e-03	8.834e-01
BMPR1A	-1.533e-01	5.053e-03
BRAF	4.218e-02	4.430e-01
BRCA1	2.161e-01	6.997e-05
BRCA2	-6.038e-02	2.719e-01
BRD4	-1.569e-02	7.754e-01
BRIP1	-7.045e-02	1.997e-01
BTG1	-6.065e-03	9.122e-01
BTK	-6.972e-02	2.044e-01
BUB1B	-2.133e-01	8.729e-05
C11orf65	-2.371e-02	6.664e-01
C3orf70	-1.027e-01	6.121e-02
C8orf34	-5.973e-03	9.135e-01
CADM2	-1.036e-01	5.886e-02
CALR	-7.390e-03	8.931e-01
CARD11	9.906e-02	7.103e-02
CASP8	5.897e-02	2.833e-01
CASR	1.590e-01	3.617e-03
CBFB	6.833e-02	2.136e-01
CBL	-8.244e-02	1.333e-01
CBLB	6.649e-02	2.263e-01
CBLC	1.733e-01	1.503e-03
CBR3	4.776e-02	3.850e-01
CCDC6	-8.867e-02	1.063e-01
CCND1	-9.890e-02	7.149e-02
CCND2	-1.400e-01	1.055e-02
CCND3	-1.753e-01	1.319e-03
CCNE1	-2.081e-01	1.310e-04
CCNE2	-8.540e-02	1.199e-01
CD19	1.776e-01	1.139e-03
CD22	-1.534e-01	5.028e-03
CD274	5.583e-03	9.192e-01
CD276	5.170e-02	3.470e-01
CD40	7.884e-02	1.511e-01
CD70	3.428e-02	5.330e-01
CD79A	-1.164e-01	3.367e-02
CD79B	1.623e-01	2.969e-03
CDC25A	4.081e-03	9.409e-01
CDC73	1.888e-01	5.330e-04
CDH1	-1.793e-01	1.016e-03
CDH2	-4.862e-02	3.765e-01
CDK12	-9.563e-02	8.143e-02
CDK4	3.417e-02	5.343e-01
CDK5	-6.942e-02	2.064e-01
CDK6	-5.036e-02	3.596e-01
CDK8	1.590e-01	3.631e-03
CDKN1A	3.248e-02	5.547e-01
CDKN1B	-1.074e-01	5.020e-02
