Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	8.43000e-01	3.88600e-91	8.38600e-01	2.49800e-89	1.00500e+00	unspecified
1	6.55100e-01	3.42500e-42	3.48000e-01	6.46100e-11	1.88200e+00	unspecified
2	2.62900e-01	1.14200e-06	2.34000e-01	1.60900e-05	1.12400e+00	unspecified
3	7.84400e-01	1.24800e-70	7.75300e-01	4.83800e-68	1.01200e+00	unspecified
4	6.68100e-01	2.09300e-44	6.63900e-01	1.10000e-43	1.00600e+00	unspecified
5	5.84800e-01	6.23800e-32	5.78500e-01	3.90400e-31	1.01100e+00	unspecified
10	2.83400e-02	6.06300e-01	2.09200e-02	7.03600e-01	1.35400e+00	unspecified
14	6.39900e-01	9.48500e-40	6.42900e-01	3.18800e-40	9.95300e-01	unspecified
15	4.92500e-01	9.44200e-22	4.46400e-01	1.02700e-17	1.10300e+00	unspecified
16	4.70900e-01	8.86500e-20	4.69500e-01	1.16400e-19	1.00300e+00	unspecified
17	1.66800e-01	2.26600e-03	1.48900e-01	6.49600e-03	1.12000e+00	unspecified
18	1.48900e-01	6.49600e-03	1.20800e-01	2.75100e-02	1.23200e+00	unspecified
23	7.30800e-01	7.82400e-57	7.38600e-01	1.24700e-58	9.89400e-01	unspecified
25	6.56100e-01	2.29200e-42	6.81900e-01	7.16500e-47	9.62200e-01	unspecified
26	1.24200e-01	2.34200e-02	5.59900e-02	3.08300e-01	2.21800e+00	unspecified
27	9.91000e-02	7.09200e-02	6.42200e-02	2.42600e-01	1.54300e+00	unspecified
30	8.09600e-02	1.40400e-01	3.28800e-02	5.49900e-01	2.46200e+00	unspecified
31	1.94200e-01	3.64700e-04	1.54600e-01	4.68700e-03	1.25600e+00	unspecified
34	2.99300e-01	2.55300e-08	2.87400e-01	9.37500e-08	1.04100e+00	unspecified
38	9.27200e-02	9.11700e-02	1.08800e-01	4.71700e-02	8.51800e-01	unspecified
39	1.71300e-01	1.70600e-03	1.92800e-01	4.03200e-04	8.88500e-01	unspecified
40	1.42000e-01	9.46400e-03	9.14400e-02	9.57400e-02	1.55300e+00	unspecified
41	1.93800e-02	7.24600e-01	1.27000e-01	2.04300e-02	1.52600e-01	unspecified
49	-6.63200e-02	2.27400e-01	-3.86100e-02	4.82600e-01	1.71800e+00	unspecified
54	2.15000e-01	7.64100e-05	1.82100e-01	8.44800e-04	1.18100e+00	unspecified
57	2.07900e-01	1.33000e-04	1.37600e-01	1.19600e-02	1.51100e+00	unspecified
61	1.64600e-01	2.58200e-03	7.75200e-02	1.58100e-01	2.12400e+00	unspecified
63	6.96200e-01	1.42100e-49	6.90600e-01	1.67300e-48	1.00800e+00	unspecified
64	6.33700e-01	8.49300e-39	4.46400e-01	1.02700e-17	1.42000e+00	unspecified
65	3.84300e-01	3.68000e-13	3.16100e-01	3.65300e-09	1.21600e+00	unspecified
67	5.85000e-01	5.77100e-32	-2.16800e-02	6.93500e-01	-2.69800e+01	unspecified
69	6.75300e-01	1.10100e-45	4.22400e-01	7.67200e-16	1.59900e+00	unspecified
71	6.79900e-01	1.65000e-46	4.49200e-01	6.05100e-18	1.51300e+00	unspecified
72	4.27600e-01	3.12600e-16	3.84300e-01	3.68000e-13	1.11300e+00	unspecified
74	1.18600e-01	3.04300e-02	1.42200e-01	9.36300e-03	8.34300e-01	unspecified
76	2.40400e-01	9.20400e-06	2.41200e-01	8.55600e-06	9.96600e-01	unspecified
77	5.54800e-01	2.82800e-28	3.95900e-01	6.08700e-14	1.40100e+00	unspecified
78	1.98400e-01	2.69200e-04	1.40000e-01	1.05500e-02	1.41700e+00	unspecified
79	1.84700e-01	7.06200e-04	1.16800e-01	3.31000e-02	1.58100e+00	unspecified
87	2.78300e-01	2.45300e-07	2.55100e-01	2.41000e-06	1.09100e+00	unspecified
88	2.33000e-01	1.74100e-05	1.17600e-01	3.19600e-02	1.98200e+00	unspecified
89	1.43100e-01	8.93700e-03	7.05500e-02	1.99100e-01	2.02800e+00	unspecified
90	2.16400e-01	6.86100e-05	1.53600e-01	4.96500e-03	1.40900e+00	unspecified
98	1.07900e-01	4.90400e-02	1.39800e-01	1.06400e-02	7.72100e-01	unspecified
99	1.08800e-01	4.73700e-02	6.92700e-02	2.07400e-01	1.57000e+00	unspecified
100	1.33200e-01	1.50200e-02	6.92700e-02	2.07400e-01	1.92300e+00	unspecified
108	2.59000e-02	6.37600e-01	2.00100e-02	7.16100e-01	1.29500e+00	unspecified
109	1.51900e-01	5.47300e-03	7.05500e-02	1.99100e-01	2.15300e+00	unspecified
110	-4.22800e-04	9.93900e-01	2.35200e-02	6.68900e-01	-1.79800e-02	unspecified
113	1.17600e-01	3.19600e-02	1.69200e-01	1.94200e-03	6.94700e-01	unspecified
115	2.87400e-01	9.37500e-08	1.93100e-01	3.94000e-04	1.48800e+00	unspecified
118	1.53600e-01	4.96500e-03	1.51100e-01	5.73200e-03	1.01700e+00	unspecified
120	-5.60000e-02	3.08300e-01	-4.81800e-02	3.80800e-01	1.16200e+00	unspecified
124	7.05500e-02	1.99100e-01	4.94500e-02	3.68300e-01	1.42700e+00	unspecified
127	1.08800e-01	4.71700e-02	1.99200e-01	2.54700e-04	5.46500e-01	unspecified
