Gene	Rho	P_val
ABCB1	-1.061e-01	5.317e-02
ABCC3	-1.041e-01	5.774e-02
ABL1	1.359e-01	1.304e-02
ABL2	1.793e-01	1.017e-03
ACTA2	-1.285e-01	1.900e-02
ACVR1B	-8.984e-02	1.017e-01
ADGRA2	-1.641e-01	2.666e-03
AJUBA	-6.449e-02	2.405e-01
AKT1	-1.170e-01	3.287e-02
AKT2	-2.276e-02	6.790e-01
AKT3	1.768e-01	1.195e-03
ALK	1.661e-02	7.626e-01
ALOX12B	9.654e-02	7.856e-02
AMER1	-2.070e-01	1.416e-04
ANKRD11	-2.515e-03	9.635e-01
APC	-4.282e-02	4.361e-01
APOB	1.685e-01	2.035e-03
AR	2.661e-01	8.393e-07
ARAF	1.206e-01	2.780e-02
ARFRP1	-1.584e-01	3.748e-03
ARHGAP26	1.054e-01	5.470e-02
ARHGAP35	-6.364e-03	9.079e-01
ARID1A	-2.946e-02	5.922e-01
ARID1B	-8.378e-02	1.271e-01
ARID2	-5.527e-02	3.146e-01
ARID5B	2.022e-02	7.132e-01
ASNS	1.854e-02	7.361e-01
ASXL1	8.840e-02	1.073e-01
ASXL2	-4.460e-02	4.173e-01
ATIC	-4.062e-02	4.600e-01
ATM	-5.959e-02	2.782e-01
ATP7B	-5.465e-02	3.201e-01
ATR	2.173e-01	6.355e-05
ATRX	-1.599e-01	3.430e-03
AURKA	-2.265e-01	3.014e-05
AURKB	-6.372e-03	9.078e-01
AXIN1	-2.497e-02	6.498e-01
AXIN2	-1.078e-01	4.934e-02
AXL	-2.874e-02	6.013e-01
B2M	1.456e-01	7.774e-03
BAP1	-9.181e-03	8.674e-01
BARD1	7.526e-02	1.707e-01
BCAR1	-2.586e-02	6.382e-01
BCL10	-4.054e-02	4.610e-01
BCL11B	-7.374e-02	1.794e-01
BCL2	2.991e-02	5.866e-01
BCL2L1	-2.004e-01	2.334e-04
BCL2L11	5.921e-02	2.813e-01
BCL2L12	1.328e-01	1.529e-02
BCL2L2	-1.506e-01	5.886e-03
BCL6	9.919e-02	7.066e-02
BCL7A	5.113e-02	3.523e-01
BCLAF1	9.704e-02	7.700e-02
BCOR	-5.012e-03	9.274e-01
BCORL1	-3.806e-02	4.889e-01
BCR	-1.357e-02	8.051e-01
BIRC3	-1.265e-01	2.091e-02
BLM	9.871e-02	7.203e-02
BMPR1A	-1.044e-01	5.703e-02
BRAF	1.247e-02	8.206e-01
BRCA1	1.482e-01	6.756e-03
BRCA2	-6.984e-02	2.037e-01
BRD4	-2.928e-02	5.945e-01
BRIP1	4.379e-04	9.936e-01
BTG1	-3.113e-02	5.713e-01
BTK	-2.457e-02	6.550e-01
BUB1B	-2.065e-01	1.474e-04
C11orf65	2.715e-02	6.215e-01
C3orf70	-1.689e-01	1.980e-03
C8orf34	7.442e-02	1.755e-01
CADM2	-6.876e-02	2.108e-01
CALR	7.039e-02	2.001e-01
CARD11	1.562e-01	4.286e-03
CASP8	1.908e-01	4.630e-04
CASR	2.251e-01	3.398e-05
CBFB	5.070e-03	9.266e-01
CBL	-1.574e-01	3.981e-03
CBLB	8.673e-02	1.142e-01
CBLC	1.319e-01	1.605e-02
CBR3	-3.038e-02	5.807e-01
CCDC6	-4.748e-02	3.878e-01
CCND1	-1.529e-02	7.811e-01
CCND2	-1.661e-01	2.358e-03
CCND3	-1.482e-01	6.756e-03
CCNE1	-9.781e-02	7.469e-02
