Term	P_rho	P_pval	C_rho	C_pval	RLIPP
0	7.324e-01	3.341e-57	7.635e-01	7.874e-65	9.592e-01
1	5.895e-01	1.515e-32	4.677e-01	1.676e-19	1.260e+00
2	2.270e-01	2.898e-05	2.885e-01	8.362e-08	7.868e-01
3	7.386e-01	1.244e-58	7.326e-01	2.913e-57	1.008e+00
4	6.244e-01	2.134e-37	6.095e-01	2.971e-35	1.024e+00
5	5.315e-01	1.134e-25	5.430e-01	6.285e-27	9.788e-01
10	2.955e-02	5.910e-01	5.032e-02	3.600e-01	5.872e-01
14	5.475e-01	1.947e-27	5.489e-01	1.351e-27	9.975e-01
15	4.320e-01	1.422e-16	3.757e-01	1.330e-12	1.150e+00
16	3.842e-01	3.710e-13	3.774e-01	1.024e-12	1.018e+00
17	2.151e-01	7.578e-05	2.596e-01	1.566e-06	8.286e-01
18	2.596e-01	1.566e-06	1.651e-01	2.504e-03	1.572e+00
23	7.087e-01	4.419e-52	6.960e-01	1.494e-49	1.018e+00
25	6.098e-01	2.683e-35	6.755e-01	1.042e-45	9.028e-01
26	1.358e-01	1.313e-02	3.084e-02	5.749e-01	4.403e+00
27	1.193e-01	2.951e-02	1.465e-01	7.417e-03	8.144e-01
30	-8.585e-02	1.179e-01	2.969e-02	5.893e-01	-2.892e+00
31	1.910e-01	4.581e-04	1.172e-01	3.257e-02	1.630e+00
34	2.318e-01	1.932e-05	2.578e-01	1.859e-06	8.991e-01
38	2.025e-01	1.991e-04	2.188e-01	5.658e-05	9.255e-01
39	1.704e-01	1.800e-03	1.774e-01	1.150e-03	9.607e-01
40	2.872e-01	9.652e-08	1.962e-01	3.161e-04	1.464e+00
41	4.205e-02	4.444e-01	4.456e-02	4.177e-01	9.437e-01
49	-1.260e-01	2.142e-02	-5.764e-02	2.943e-01	2.187e+00
54	2.095e-01	1.178e-04	2.387e-01	1.065e-05	8.775e-01
57	1.218e-01	2.627e-02	1.124e-01	4.042e-02	1.084e+00
61	6.586e-02	2.307e-01	3.972e-02	4.701e-01	1.658e+00
63	6.336e-01	8.945e-39	6.159e-01	3.730e-36	1.029e+00
64	5.212e-01	1.364e-24	3.757e-01	1.330e-12	1.387e+00
65	3.746e-01	1.564e-12	2.472e-01	4.993e-06	1.515e+00
67	5.751e-01	1.030e-30	6.109e-02	2.663e-01	9.414e+00
69	6.269e-01	8.966e-38	4.303e-01	1.922e-16	1.457e+00
71	5.905e-01	1.126e-32	4.053e-01	1.350e-14	1.457e+00
72	4.142e-01	3.074e-15	3.746e-01	1.564e-12	1.106e+00
74	5.178e-02	3.462e-01	3.581e-02	5.148e-01	1.446e+00
76	1.741e-01	1.428e-03	2.525e-01	3.058e-06	6.893e-01
77	5.488e-01	1.389e-27	3.061e-01	1.178e-08	1.793e+00
78	2.341e-01	1.585e-05	9.306e-02	8.997e-02	2.516e+00
79	1.940e-01	3.700e-04	9.711e-02	7.678e-02	1.998e+00
87	2.944e-01	4.396e-08	2.903e-01	6.870e-08	1.014e+00
88	8.000e-02	1.452e-01	2.026e-01	1.975e-04	3.948e-01
89	2.624e-01	1.199e-06	8.739e-02	1.115e-01	3.003e+00
90	2.235e-01	3.878e-05	1.674e-01	2.184e-03	1.335e+00
98	1.243e-01	2.329e-02	2.216e-01	4.519e-05	5.610e-01
99	2.015e-01	2.142e-04	2.291e-02	6.770e-01	8.795e+00
100	1.331e-01	1.504e-02	2.291e-02	6.770e-01	5.811e+00
108	1.230e-01	2.479e-02	1.151e-01	3.571e-02	1.068e+00
109	1.245e-01	2.309e-02	8.739e-02	1.115e-01	1.425e+00
110	-1.710e-02	7.558e-01	-4.645e-02	3.981e-01	3.682e-01
113	2.026e-01	1.975e-04	1.743e-01	1.407e-03	1.162e+00
115	2.578e-01	1.859e-06	1.697e-01	1.883e-03	1.519e+00
118	1.674e-01	2.184e-03	1.745e-01	1.388e-03	9.590e-01
120	-2.315e-02	6.739e-01	-1.172e-03	9.830e-01	1.975e+01
124	8.739e-02	1.115e-01	7.962e-02	1.471e-01	1.097e+00
127	2.188e-01	5.658e-05	3.342e-01	3.926e-10	6.547e-01
