Gene	Rho	P_val
ABCB1	-8.412e-02	1.255e-01
ABCC3	9.215e-02	9.320e-02
ABL1	1.368e-01	1.248e-02
ABL2	9.166e-02	9.496e-02
ACTA2	-1.459e-01	7.657e-03
ACVR1B	-1.220e-01	2.600e-02
ADGRA2	-1.918e-01	4.329e-04
AJUBA	-1.805e-01	9.394e-04
AKT1	-1.313e-01	1.653e-02
AKT2	-6.619e-02	2.283e-01
AKT3	1.324e-01	1.560e-02
ALK	1.858e-02	7.355e-01
ALOX12B	-4.390e-02	4.246e-01
AMER1	-1.414e-01	9.793e-03
ANKRD11	7.344e-02	1.812e-01
APC	-8.516e-02	1.209e-01
APOB	1.442e-01	8.391e-03
AR	2.141e-01	8.210e-05
ARAF	5.504e-02	3.167e-01
ARFRP1	-2.383e-01	1.101e-05
ARHGAP26	5.495e-02	3.174e-01
ARHGAP35	2.406e-02	6.618e-01
ARID1A	-3.226e-02	5.575e-01
ARID1B	-4.407e-02	4.228e-01
ARID2	-8.125e-02	1.390e-01
ARID5B	-1.010e-02	8.543e-01
ASNS	4.932e-02	3.696e-01
ASXL1	1.910e-01	4.562e-04
ASXL2	-1.543e-01	4.765e-03
ATIC	-5.049e-02	3.584e-01
ATM	1.558e-02	7.770e-01
ATP7B	1.969e-03	9.714e-01
ATR	1.945e-01	3.567e-04
ATRX	-1.159e-01	3.443e-02
AURKA	-2.452e-01	5.986e-06
AURKB	-1.246e-01	2.298e-02
AXIN1	-1.170e-01	3.282e-02
AXIN2	-1.698e-01	1.869e-03
AXL	-1.696e-02	7.578e-01
B2M	5.595e-02	3.087e-01
BAP1	2.903e-02	5.976e-01
BARD1	1.700e-01	1.845e-03
BCAR1	-6.501e-02	2.368e-01
BCL10	-3.798e-03	9.450e-01
BCL11B	5.417e-02	3.244e-01
BCL2	1.462e-01	7.536e-03
BCL2L1	-2.505e-01	3.694e-06
BCL2L11	7.386e-02	1.788e-01
BCL2L12	1.630e-01	2.845e-03
BCL2L2	-8.386e-02	1.267e-01
BCL6	3.897e-02	4.784e-01
BCL7A	6.099e-02	2.671e-01
BCLAF1	2.984e-02	5.874e-01
BCOR	-1.536e-02	7.801e-01
BCORL1	-3.735e-02	4.970e-01
BCR	1.162e-02	8.326e-01
BIRC3	-1.052e-01	5.505e-02
BLM	4.145e-02	4.509e-01
BMPR1A	-1.024e-01	6.187e-02
BRAF	-1.269e-02	8.176e-01
BRCA1	1.422e-01	9.374e-03
BRCA2	-6.424e-02	2.424e-01
BRD4	-9.629e-02	7.932e-02
BRIP1	-1.402e-01	1.041e-02
BTG1	-6.914e-02	2.082e-01
BTK	1.004e-02	8.551e-01
BUB1B	-2.179e-01	6.097e-05
C11orf65	4.203e-02	4.446e-01
C3orf70	-1.406e-01	1.022e-02
C8orf34	-3.910e-02	4.770e-01
CADM2	-1.215e-01	2.667e-02
CALR	1.021e-01	6.267e-02
CARD11	1.641e-01	2.673e-03
CASP8	1.207e-01	2.766e-02
CASR	1.257e-01	2.178e-02
CBFB	5.431e-02	3.231e-01
CBL	-1.182e-01	3.102e-02
CBLB	9.931e-02	7.031e-02
CBLC	1.637e-01	2.727e-03
CBR3	1.109e-01	4.306e-02
CCDC6	-8.704e-02	1.129e-01
CCND1	6.686e-03	9.033e-01
CCND2	-1.518e-01	5.513e-03
CCND3	-2.551e-01	2.414e-06
CCNE1	-1.857e-01	6.579e-04
CCNE2	-1.042e-01	5.750e-02
CD19	1.351e-01	1.358e-02
CD22	-8.490e-02	1.220e-01
CD274	-1.839e-02	7.382e-01
CD276	8.356e-02	1.281e-01
CD40	2.074e-01	1.376e-04
CD70	5.587e-02	3.094e-01
CD79A	-9.145e-02	9.571e-02
CD79B	1.762e-01	1.241e-03
CDC25A	1.536e-01	4.974e-03
CDC73	1.194e-01	2.942e-02
CDH1	-2.253e-01	3.344e-05
CDH2	-1.278e-01	1.963e-02
CDK12	-2.838e-02	6.058e-01
CDK4	8.746e-02	1.111e-01
CDK5	4.952e-02	3.677e-01
CDK6	-7.493e-02	1.725e-01
CDK8	8.239e-02	1.335e-01
CDKN1A	1.575e-02	7.747e-01
CDKN1B	-1.917e-01	4.344e-04
CDKN1C	-1.567e-01	4.146e-03
CDKN2A	-2.763e-01	3.013e-07
CDKN2B	2.792e-01	2.236e-07
CDKN2C	2.771e-02	6.144e-01
CEBPA	5.197e-02	3.444e-01
