Gene	Rho	P_val
ABCB1	-5.189e-02	3.452e-01
ABCC3	2.394e-02	6.634e-01
ABL1	8.507e-02	1.213e-01
ABL2	8.124e-02	1.390e-01
ACTA2	-1.574e-01	3.981e-03
ACVR1B	-8.111e-02	1.397e-01
ADGRA2	-8.886e-02	1.055e-01
AJUBA	-1.595e-01	3.511e-03
AKT1	-9.384e-02	8.730e-02
AKT2	-8.710e-02	1.126e-01
AKT3	8.000e-02	1.452e-01
ALK	1.250e-04	9.982e-01
ALOX12B	9.380e-02	8.746e-02
AMER1	-2.073e-01	1.391e-04
ANKRD11	-8.048e-03	8.837e-01
APC	-3.199e-02	5.607e-01
APOB	1.712e-01	1.712e-03
AR	2.227e-01	4.132e-05
ARAF	1.461e-01	7.576e-03
ARFRP1	-2.526e-01	3.044e-06
ARHGAP26	3.316e-02	5.465e-01
ARHGAP35	7.911e-03	8.856e-01
ARID1A	-3.111e-03	9.549e-01
ARID1B	-1.345e-02	8.069e-01
ARID2	-7.181e-02	1.912e-01
ARID5B	5.281e-02	3.367e-01
ASNS	4.662e-02	3.965e-01
ASXL1	1.313e-01	1.652e-02
ASXL2	-8.096e-02	1.404e-01
ATIC	-1.363e-01	1.282e-02
ATM	5.830e-02	2.888e-01
ATP7B	1.073e-01	5.042e-02
ATR	1.704e-01	1.801e-03
ATRX	-2.140e-01	8.291e-05
AURKA	-2.379e-01	1.144e-05
AURKB	-5.236e-02	3.408e-01
AXIN1	-4.526e-03	9.344e-01
AXIN2	-1.410e-01	9.969e-03
AXL	1.422e-02	7.960e-01
B2M	3.579e-02	5.151e-01
BAP1	-9.919e-03	8.569e-01
BARD1	1.280e-01	1.944e-02
BCAR1	-2.534e-02	6.449e-01
BCL10	7.255e-02	1.866e-01
BCL11B	8.466e-02	1.231e-01
BCL2	1.283e-01	1.913e-02
BCL2L1	-2.469e-01	5.140e-06
BCL2L11	1.193e-02	8.283e-01
BCL2L12	7.468e-02	1.740e-01
BCL2L2	-5.206e-02	3.436e-01
BCL6	4.539e-02	4.090e-01
BCL7A	5.926e-02	2.809e-01
BCLAF1	-1.029e-02	8.515e-01
BCOR	-8.857e-02	1.067e-01
BCORL1	-3.086e-02	5.747e-01
BCR	-2.942e-02	5.927e-01
BIRC3	-7.987e-02	1.459e-01
BLM	7.355e-02	1.806e-01
BMPR1A	-1.588e-01	3.665e-03
BRAF	-4.493e-02	4.138e-01
BRCA1	1.397e-01	1.073e-02
BRCA2	-7.171e-02	1.918e-01
BRD4	-7.337e-02	1.817e-01
BRIP1	-1.371e-01	1.229e-02
BTG1	1.011e-02	8.542e-01
BTK	-6.992e-02	2.031e-01
BUB1B	-2.044e-01	1.731e-04
C11orf65	-2.267e-02	6.801e-01
C3orf70	-1.566e-01	4.163e-03
C8orf34	-2.355e-02	6.685e-01
CADM2	-1.239e-02	8.218e-01
CALR	1.192e-01	2.966e-02
CARD11	1.863e-01	6.318e-04
CASP8	1.052e-01	5.508e-02
CASR	1.702e-01	1.828e-03
CBFB	4.287e-02	4.356e-01
CBL	-5.168e-02	3.471e-01
CBLB	8.970e-02	1.022e-01
CBLC	1.300e-01	1.759e-02
CBR3	7.270e-02	1.857e-01
CCDC6	-9.868e-02	7.212e-02
CCND1	1.338e-02	8.078e-01
CCND2	-1.514e-01	5.623e-03
CCND3	-2.306e-01	2.136e-05
CCNE1	-1.945e-01	3.564e-04
CCNE2	-4.970e-02	3.659e-01
CD19	1.808e-01	9.209e-04
CD22	-8.656e-02	1.149e-01
CD274	-4.017e-02	4.651e-01
CD276	2.173e-02	6.927e-01
CD40	2.136e-01	8.559e-05
CD70	3.645e-02	5.074e-01
CD79A	-6.543e-02	2.338e-01
CD79B	1.699e-01	1.866e-03
CDC25A	1.158e-01	3.473e-02
CDC73	9.772e-02	7.495e-02
CDH1	-1.494e-01	6.301e-03
CDH2	1.083e-02	8.439e-01
CDK12	8.782e-03	8.732e-01
