Gene	Rho	P_val
ABCB1	-4.410e-02	4.224e-01
ABCC3	-6.413e-02	2.432e-01
ABL1	1.143e-01	3.702e-02
ABL2	1.679e-01	2.109e-03
ACTA2	1.121e-02	8.386e-01
ACVR1B	2.759e-03	9.600e-01
ADGRA2	-1.910e-01	4.567e-04
AJUBA	-1.029e-01	6.061e-02
AKT1	-1.379e-01	1.177e-02
AKT2	-7.073e-02	1.980e-01
AKT3	1.640e-01	2.676e-03
ALK	6.006e-02	2.745e-01
ALOX12B	5.428e-02	3.234e-01
AMER1	-1.635e-01	2.769e-03
ANKRD11	-7.857e-02	1.525e-01
APC	3.605e-03	9.477e-01
APOB	1.390e-01	1.113e-02
AR	2.164e-01	6.837e-05
ARAF	4.115e-02	4.542e-01
ARFRP1	-1.759e-01	1.266e-03
ARHGAP26	9.978e-02	6.898e-02
ARHGAP35	-2.370e-02	6.665e-01
ARID1A	-5.083e-02	3.552e-01
ARID1B	-5.921e-02	2.813e-01
ARID2	-4.453e-02	4.180e-01
ARID5B	-1.404e-02	7.985e-01
ASNS	5.677e-02	3.016e-01
ASXL1	1.008e-01	6.620e-02
ASXL2	-7.305e-02	1.836e-01
ATIC	-8.325e-02	1.295e-01
ATM	-1.202e-01	2.828e-02
ATP7B	-3.746e-02	4.957e-01
ATR	1.780e-01	1.105e-03
ATRX	-1.143e-01	3.713e-02
AURKA	-1.652e-01	2.496e-03
AURKB	-8.360e-02	1.279e-01
AXIN1	1.475e-02	7.886e-01
AXIN2	-8.088e-02	1.408e-01
AXL	-4.611e-02	4.017e-01
B2M	5.942e-02	2.796e-01
BAP1	-3.769e-02	4.930e-01
BARD1	1.120e-01	4.111e-02
BCAR1	1.153e-02	8.340e-01
BCL10	5.187e-02	3.454e-01
BCL11B	-4.843e-02	3.783e-01
BCL2	9.874e-02	7.195e-02
BCL2L1	-2.546e-01	2.531e-06
BCL2L11	8.068e-02	1.418e-01
BCL2L12	3.420e-02	5.339e-01
BCL2L2	-1.185e-01	3.061e-02
BCL6	5.552e-02	3.124e-01
BCL7A	7.551e-02	1.692e-01
BCLAF1	1.044e-01	5.708e-02
BCOR	-2.923e-02	5.951e-01
BCORL1	-2.644e-03	9.617e-01
BCR	6.883e-03	9.004e-01
BIRC3	-1.191e-01	2.978e-02
BLM	2.339e-02	6.707e-01
BMPR1A	-1.003e-01	6.767e-02
BRAF	-5.018e-02	3.613e-01
BRCA1	2.581e-01	1.821e-06
BRCA2	-8.206e-02	1.351e-01
BRD4	5.862e-02	2.862e-01
BRIP1	-3.731e-02	4.974e-01
BTG1	6.590e-02	2.304e-01
BTK	-4.800e-02	3.825e-01
BUB1B	-3.093e-01	8.194e-09
C11orf65	1.267e-02	8.178e-01
C3orf70	-1.405e-01	1.024e-02
C8orf34	-7.415e-03	8.928e-01
CADM2	-7.842e-02	1.533e-01
CALR	7.423e-02	1.766e-01
CARD11	1.120e-01	4.112e-02
CASP8	1.359e-01	1.308e-02
CASR	1.592e-01	3.577e-03
CBFB	2.373e-02	6.661e-01
CBL	-1.992e-01	2.535e-04
CBLB	5.216e-02	3.427e-01
CBLC	1.394e-01	1.087e-02
CBR3	9.561e-02	8.148e-02
CCDC6	-6.912e-02	2.084e-01
CCND1	2.131e-02	6.984e-01
CCND2	-2.871e-02	6.016e-01
CCND3	-2.947e-01	4.272e-08
CCNE1	-1.546e-01	4.700e-03
CCNE2	-4.350e-02	4.288e-01
CD19	1.543e-01	4.783e-03
CD22	-1.682e-01	2.067e-03
CD274	-1.732e-02	7.528e-01
CD276	4.816e-02	3.810e-01
CD40	1.337e-01	1.462e-02
CD70	8.714e-02	1.125e-01
CD79A	-1.018e-01	6.347e-02
CD79B	9.011e-02	1.007e-01
CDC25A	6.801e-02	2.158e-01
CDC73	1.908e-01	4.632e-04
CDH1	-2.587e-01	1.711e-06
CDH2	-5.588e-02	3.093e-01
CDK12	4.547e-03	9.341e-01
CDK4	1.810e-02	7.422e-01
CDK5	7.793e-02	1.559e-01
CDK6	4.979e-02	3.651e-01
CDK8	8.614e-02	1.167e-01
CDKN1A	3.588e-02	5.141e-01
CDKN1B	-8.054e-03	8.836e-01
CDKN1C	-1.455e-01	7.847e-03
CDKN2A	-4.199e-01	1.178e-15
CDKN2B	4.093e-01	6.964e-15
CDKN2C	4.094e-02	4.565e-01
CEBPA	1.076e-01	4.974e-02
CEP57	-1.320e-01	1.593e-02
CFTR	-1.000e-01	6.836e-02
CHD2	-4.326e-02	4.314e-01
CHD4	1.290e-01	1.853e-02
CHEK1	1.789e-01	1.043e-03
CHEK2	-7.512e-02	1.715e-01
CIC	-6.655e-02	2.258e-01
CIITA	-3.528e-02	5.212e-01
CKS1B	2.363e-01	1.320e-05
CREBBP	-5.477e-02	3.191e-01
CRKL	-1.835e-01	7.671e-04
CRLF2	1.173e-01	3.235e-02
CSF1R	-5.779e-02	2.930e-01
CSF3R	3.880e-02	4.804e-01
CTC1	9.597e-02	8.034e-02
CTCF	8.704e-06	9.999e-01
CTLA4	-9.885e-02	7.164e-02
CTNNA1	-5.759e-02	2.947e-01
CTNNB1	-7.953e-02	1.476e-01
CTRC	-1.492e-01	6.362e-03
CUL3	-1.568e-01	4.130e-03
CUX1	-2.174e-02	6.926e-01
CXCR4	-4.075e-02	4.586e-01
CYLD	1.454e-01	7.861e-03
